l1d_size,l1d_assoc,l2cache,l2assoc,mem_type,l1d_hwp_type,cacheline_size,algorithm,bp_type,sim_seconds,sim_insts,dcache_overall_miss_rate,dcache_overall_misses,dcache_replacements,dcache_overall_misses,dcache_overall_avg_miss_latency,dram_rank0_total_energy,dram_rank0_avg_power,dram_bwWrite_total,dram_bwRead_total,dram_bwTotal_total,dram_avgMemAcc_lat
8,16,OFF,16,HBM2_2000_4H_1x128,BOPPrefetcher,32,mm,BiModeBP,0.165846,41921924,0.306982,2238624,2238791,7292361,60988.938294,0,0,12083885,440232642,452316526,29233.54
1,16,ON,2,HBM2_2000_4H_1x128,AMPMPrefetcher,64,insert,MultiperspectivePerceptron64KB,0.646239,497492591,0.018822,2563214,6495431,136181726,14046.018201,0,0,291954,832088,1124042,25973.66
32,16,OFF,8,HBM2_2000_4H_1x128,None,32,snap,BiModeBP,0.873540,320264901,0.023109,2696044,2694846,116663920,39515.041668,0,0,84336529,223741343,308077873,27579.71
1,2,OFF,1,HBM2_2000_4H_1x128,BOPPrefetcher,32,insert,BiModeBP,1.075352,498626553,0.063627,8681865,8683221,136448764,53677.832643,0,0,253986953,260587423,514574377,22134.63
2,8,ON,1,HBM2_2000_4H_1x128,TaggedPrefetcher,32,pen,None,0.099613,68863910,0.084436,1497877,3565051,17739850,20986.574665,0,0,103571545,106151140,209722684,24307.57
1,2,ON,1,HBM2_2000_4H_1x128,AMPMPrefetcher,128,pen,LocalBP,0.184251,68106493,0.464130,8190791,23987899,17647623,14818.637113,0,0,61226544,79100641,140327186,31707.68
256,8,OFF,1,HBM2_2000_4H_1x128,None,32,quick,None,0.030703,42672339,0.004962,28357,27979,5715185,43934.090348,0,0,19500414,74545048,94045462,26902.43
32,8,OFF,2,HBM2_2000_4H_1x128,None,32,insert,TournamentBP,0.776979,497986087,0.022899,3120712,3120653,136280606,52356.115527,0,0,127036652,131151698,258188350,22116.05
16,4,ON,8,HBM2_2000_4H_1x128,BOPPrefetcher,64,pen,MultiperspectivePerceptron64KB,0.083894,68212730,0.047690,839512,953719,17603374,16976.454774,0,0,118382815,45095200,163478015,27874.14
512,8,ON,8,HBM2_2000_4H_1x128,BOPPrefetcher,32,pen,MultiperspectivePerceptron64KB,0.084395,68878357,0.033641,596468,592776,17730399,24129.790701,0,0,115354353,29178704,144533057,26539.07
128,16,ON,4,HBM2_2000_4H_1x128,TaggedPrefetcher,32,pen,TournamentBP,0.084117,68844937,0.025023,443658,884299,17729878,38271.461351,0,0,116836460,99056337,215892797,24420.02
4,16,ON,2,HBM2_2000_4H_1x128,None,32,pen,BiModeBP,0.102737,68905311,0.115821,2054983,2056707,17742752,16326.358904,0,0,95772253,27983202,123755455,26075.03
64,4,OFF,4,HBM2_2000_4H_1x128,None,64,insert,TournamentBP,0.628338,497433644,0.002198,299307,299187,136174776,45708.633610,0,0,29108185,34848963,63957148,23083.98
2,1,ON,16,HBM2_2000_4H_1x128,AMPMPrefetcher,64,quick,BiModeBP,0.032934,42393831,0.097184,551820,933932,5678082,12181.528397,0,0,3315212,6088252,9403464,27023.25
256,8,ON,8,HBM2_2000_4H_1x128,SignaturePathPrefetcher,32,insert,None,0.612890,497665482,0.000121,16466,30464,136174502,17820.174906,0,0,147341,269882,417223,25294.14
128,16,OFF,1,HBM2_2000_4H_1x128,AMPMPrefetcher,128,quick,LocalBP,0.028938,42212366,0.001555,8817,13709,5668758,67039.355790,0,0,34235494,167096522,201332016,33896.84
16,16,OFF,16,HBM2_2000_4H_1x128,SignaturePathPrefetcher,32,snap,LocalBP,0.966541,324827929,0.026440,3138119,5141712,118686703,55135.655627,0,0,102895927,323551642,426447569,28572.13
1,2,ON,4,HBM2_2000_4H_1x128,AMPMPrefetcher,64,quick,LocalBP,0.032566,42409581,0.085361,484907,1218301,5680676,12777.751194,0,0,4099498,10912998,15012496,25755.01
64,16,ON,4,HBM2_2000_4H_1x128,BOPPrefetcher,32,insert,MultiperspectivePerceptron64KB,0.613671,497679746,0.000500,68128,67928,136181571,15497.534054,0,0,157009,289510,446519,23826.38
32,4,ON,1,HBM2_2000_4H_1x128,TaggedPrefetcher,64,quick,None,0.027359,42339342,0.003799,21573,46076,5677963,20473.091364,0,0,10966570,32366353,43332923,26552.72
32,8,ON,2,HBM2_2000_4H_1x128,TaggedPrefetcher,128,mm,TournamentBP,0.057879,41232469,0.297130,2144972,6203517,7218974,15233.773448,0,0,6871187,20277410,27148597,30682.48
1,16,ON,8,HBM2_2000_4H_1x128,TaggedPrefetcher,64,pen,None,0.146203,68358019,0.329052,5806329,16216662,17645646,13966.738709,0,0,68542044,59657523,128199567,25543.71
1,1,OFF,4,HBM2_2000_4H_1x128,SignaturePathPrefetcher,64,snap,BiModeBP,2.275596,341673114,0.284790,35875090,79548861,125970290,40983.461700,0,0,387667460,2347892477,2735559937,26664.13
64,1,OFF,2,HBM2_2000_4H_1x128,BOPPrefetcher,128,snap,None,0.835415,326482101,0.016471,1959791,2255453,118985839,63054.974485,0,0,157919105,718514354,876433459,35251.74
128,16,OFF,1,HBM2_2000_4H_1x128,SignaturePathPrefetcher,128,snap,MultiperspectivePerceptron64KB,0.763410,339055568,0.003758,464311,786269,123554009,62610.155693,0,0,93579447,572093155,665672602,34342.73
512,1,ON,4,HBM2_2000_4H_1x128,None,64,pen,BiModeBP,0.078266,68210820,0.018964,333938,331131,17608884,23999.493918,0,0,125544036,38160631,163704667,28094.61
512,2,OFF,4,HBM2_2000_4H_1x128,BOPPrefetcher,128,mm,MultiperspectivePerceptron64KB,0.029761,41231397,0.001542,11114,11313,7209129,61489.877632,0,0,28859617,163963267,192822884,32508.13
