l1d_size,l1d_assoc,l2cache,l2assoc,mem_type,l1d_hwp_type,cacheline_size,algorithm,bp_type,sim_seconds,sim_insts,dcache_overall_miss_rate,dcache_overall_misses,dcache_replacements,dcache_overall_misses,dcache_overall_avg_miss_latency,dram_rank0_total_energy,dram_rank0_avg_power,dram_bwWrite_total,dram_bwRead_total,dram_bwTotal_total,dram_avgMemAcc_lat
1,16,ON,16,HBM2_2000_4H_1x128,SignaturePathPrefetcher,64,snap,None,0.852248,324662979,0.218569,25686408,66145140,117520808,14033.329378,0,0,51004865,58433988,109438853,29658.83
2,8,OFF,1,HBM2_2000_4H_1x128,SignaturePathPrefetcher,128,insert,TournamentBP,0.679752,497544753,0.007194,979782,2358232,136198294,66634.171173,0,0,406494405,451510995,858005400,28775.43
8,16,ON,16,HBM2_2000_4H_1x128,SignaturePathPrefetcher,32,quick,MultiperspectivePerceptron64KB,0.027446,42585492,0.009482,54113,95440,5706862,12176.131429,0,0,3375372,4444531,7819903,26049.77
32,16,OFF,8,HBM2_2000_4H_1x128,TaggedPrefetcher,64,snap,TournamentBP,0.803363,327036625,0.013575,1614251,3023060,118911583,50725.882468,0,0,115863670,493217258,609080928,29208.28
256,8,ON,16,HBM2_2000_4H_1x128,AMPMPrefetcher,128,pen,LocalBP,0.072549,67877856,0.005846,102792,191735,17581945,35361.881275,0,0,140170036,126284827,266454864,32138.73
64,1,ON,16,HBM2_2000_4H_1x128,None,32,pen,LocalBP,0.091979,68849486,0.069795,1237949,1237135,17736930,18308.589853,0,0,106029715,25875544,131905258,26927.53
128,4,OFF,2,HBM2_2000_4H_1x128,AMPMPrefetcher,128,quick,MultiperspectivePerceptron64KB,0.028934,42190269,0.001612,9130,14042,5663687,67647.918949,0,0,35126008,167345953,202471961,34156.47
64,2,OFF,4,HBM2_2000_4H_1x128,None,64,pen,None,0.116472,68290812,0.033343,586993,586075,17604534,51008.474547,0,0,210479264,418612220,629091484,28582.27
32,16,ON,2,HBM2_2000_4H_1x128,AMPMPrefetcher,32,insert,BiModeBP,0.630431,497660560,0.009987,1360198,3463349,136191294,13865.200140,0,0,257856,644436,902291,24667.36
512,16,OFF,1,HBM2_2000_4H_1x128,TaggedPrefetcher,64,quick,BiModeBP,0.028742,42328811,0.001031,5856,9918,5679994,42944.330601,0,0,10895127,95747911,106643038,28476.76
128,1,OFF,2,HBM2_2000_4H_1x128,TaggedPrefetcher,32,quick,LocalBP,0.030987,42674596,0.005897,33680,60531,5711706,45071.347981,0,0,32646979,114909590,147556569,27396.60
256,16,ON,16,HBM2_2000_4H_1x128,None,32,snap,TournamentBP,0.570384,324303461,0.014066,1652753,1630434,117495768,34720.080678,0,0,74292080,39765497,114057577,31510.94
64,16,OFF,8,HBM2_2000_4H_1x128,AMPMPrefetcher,64,pen,None,0.102597,68257950,0.017961,316102,612753,17599404,51489.054166,0,0,232987942,543290944,776278886,27376.80
8,8,ON,16,HBM2_2000_4H_1x128,SignaturePathPrefetcher,128,quick,TournamentBP,0.026959,42156973,0.005346,30272,48701,5662058,14783.479783,0,0,4885633,12615284,17500917,31773.45
4,2,OFF,1,HBM2_2000_4H_1x128,TaggedPrefetcher,128,quick,TournamentBP,0.034675,42392334,0.020739,117616,234135,5671190,50837.356312,0,0,227237403,955251522,1182488925,31512.26
32,16,ON,1,HBM2_2000_4H_1x128,SignaturePathPrefetcher,32,mm,LocalBP,0.040486,41640314,0.155367,1122119,3865394,7222359,12235.100288,0,0,8593095,22287353,30880448,24852.45
2,16,ON,8,HBM2_2000_4H_1x128,SignaturePathPrefetcher,32,mm,None,0.042839,41645288,0.191954,1385392,4969359,7217306,12110.452132,0,0,3677381,8790457,12467838,24297.75
128,8,ON,2,HBM2_2000_4H_1x128,None,128,snap,BiModeBP,0.534119,321495755,0.005772,671635,667056,116356304,45918.278529,0,0,84978608,111376212,196354820,35461.90
4,16,ON,8,HBM2_2000_4H_1x128,SignaturePathPrefetcher,128,snap,MultiperspectivePerceptron64KB,0.632555,322035499,0.076363,8903611,18935654,116595985,15236.282223,0,0,70543844,90115321,160659165,39471.89
32,2,OFF,8,HBM2_2000_4H_1x128,AMPMPrefetcher,64,pen,None,0.113610,68301364,0.027211,479427,989665,17618662,55491.847560,0,0,241429126,702890247,944319373,28229.07
1,16,OFF,16,HBM2_2000_4H_1x128,TaggedPrefetcher,32,pen,MultiperspectivePerceptron64KB,0.257866,69424092,0.167517,2987358,7450859,17833120,55053.346468,0,0,210284223,977142638,1187426861,25333.90
8,16,ON,1,HBM2_2000_4H_1x128,SignaturePathPrefetcher,32,insert,None,0.650107,497693442,0.021735,2960331,7879848,136203008,13478.418798,0,0,387530,1010049,1397578,25441.48
4,16,ON,8,HBM2_2000_4H_1x128,BOPPrefetcher,128,mm,MultiperspectivePerceptron64KB,0.053503,41259061,0.297646,2149989,2251283,7223320,13196.408214,0,0,4607777,14895131,19502908,28415.59
2,2,OFF,16,HBM2_2000_4H_1x128,BOPPrefetcher,32,snap,None,2.111344,338659497,0.208001,25955573,25965674,124785816,47963.912567,0,0,174971019,462428838,637399858,27321.96
4,4,ON,4,HBM2_2000_4H_1x128,AMPMPrefetcher,128,mm,MultiperspectivePerceptron64KB,0.056522,41277804,0.316991,2287337,8356049,7215775,13779.252904,0,0,5258455,15041627,20300082,29783.46
16,16,OFF,2,HBM2_2000_4H_1x128,None,32,snap,None,0.967260,321912924,0.034203,4015590,4019199,117405337,46240.755157,0,0,96850747,249851602,346702348,28116.34
32,8,ON,2,HBM2_2000_4H_1x128,BOPPrefetcher,32,pen,MultiperspectivePerceptron64KB,0.093757,68896213,0.074008,1312547,1311951,17735203,18277.401114,0,0,104765642,30441298,135206940,26157.20
256,8,ON,8,HBM2_2000_4H_1x128,AMPMPrefetcher,32,mm,TournamentBP,0.027923,41624615,0.003652,26358,52968,7216815,20442.901586,0,0,5364454,11125425,16489879,24001.40
64,1,ON,2,HBM2_2000_4H_1x128,BOPPrefetcher,128,insert,BiModeBP,0.618374,497214181,0.003287,447630,662862,136164969,14308.202087,0,0,476708,1409425,1886134,31714.95
1,8,ON,2,HBM2_2000_4H_1x128,AMPMPrefetcher,64,quick,None,0.029612,42414480,0.038493,218455,629728,5675137,13317.033243,0,0,6308848,18118216,24427064,25588.32
64,16,ON,2,HBM2_2000_4H_1x128,BOPPrefetcher,128,quick,BiModeBP,0.027017,42189469,0.002709,15360,15341,5670070,23621.321615,0,0,8238900,23901812,32140713,29933.58
8,4,ON,1,HBM2_2000_4H_1x128,None,32,insert,None,0.706479,497791295,0.056790,7736059,7736177,136222681,13064.379163,0,0,353573,707508,1061081,24500.00
8,16,OFF,2,HBM2_2000_4H_1x128,SignaturePathPrefetcher,64,insert,MultiperspectivePerceptron64KB,0.702327,497561647,0.011368,1548465,3992375,136213332,57166.964058,0,0,356805049,368238271,725043320,22833.05
32,2,OFF,2,HBM2_2000_4H_1x128,AMPMPrefetcher,32,insert,None,0.702911,497865107,0.011719,1596437,3952413,136226246,55224.265975,0,0,173850099,183042597,356892696,22390.22
128,16,OFF,1,HBM2_2000_4H_1x128,BOPPrefetcher,32,mm,None,0.106480,41777272,0.169800,1233282,1233002,7263154,62292.164323,0,0,13253249,382509734,395762984,30728.36
128,1,ON,8,HBM2_2000_4H_1x128,None,128,insert,MultiperspectivePerceptron64KB,0.613963,497235270,0.000970,132133,132008,136164350,13679.909637,0,0,194305,511823,706128,29428.28
4,1,ON,16,HBM2_2000_4H_1x128,AMPMPrefetcher,64,quick,LocalBP,0.029624,42325464,0.045102,256167,430882,5679686,12351.184969,0,0,3923331,6902556,10825886,26502.80
512,8,OFF,2,HBM2_2000_4H_1x128,None,32,mm,LocalBP,0.030988,41650506,0.004254,30712,30076,7219105,32936.295259,0,0,20134584,70464589,90599173,26774.43
1,4,OFF,4,HBM2_2000_4H_1x128,SignaturePathPrefetcher,32,snap,TournamentBP,2.286773,342375425,0.233225,29479974,61859308,126401193,47757.913253,0,0,205303634,944706505,1150010140,26192.90
256,1,OFF,16,HBM2_2000_4H_1x128,AMPMPrefetcher,64,snap,BiModeBP,0.782612,334044133,0.009041,1098218,1573206,121467497,46182.204717,0,0,83474434,395348556,478822990,29172.75
16,2,ON,16,HBM2_2000_4H_1x128,BOPPrefetcher,32,mm,TournamentBP,0.053893,41644704,0.305237,2205328,2205316,7224965,13065.634908,0,0,2581112,1379324,3960436,24393.12
256,2,OFF,2,HBM2_2000_4H_1x128,None,32,insert,None,0.616940,497712593,0.000216,29417,29103,136173398,44386.987116,0,0,989296,4654952,5644248,27380.08
16,4,ON,16,HBM2_2000_4H_1x128,SignaturePathPrefetcher,64,mm,TournamentBP,0.039485,41347890,0.151789,1094483,3325324,7210556,12146.068509,0,0,5313166,10781933,16095099,25151.17
2,2,ON,2,HBM2_2000_4H_1x128,SignaturePathPrefetcher,64,quick,TournamentBP,0.028399,42361745,0.022533,127931,174288,5677488,13142.893435,0,0,7076200,18896157,25972357,26528.35
128,1,ON,2,HBM2_2000_4H_1x128,None,128,snap,BiModeBP,0.542153,321930763,0.010531,1227419,1224317,116553924,31202.774277,0,0,83996549,110445429,194441977,35479.62
8,4,OFF,8,HBM2_2000_4H_1x128,AMPMPrefetcher,128,snap,LocalBP,1.098868,321672974,0.053099,6234204,11489569,117407193,61768.757647,0,0,349773083,1620941435,1970714518,34065.02
32,8,ON,16,HBM2_2000_4H_1x128,BOPPrefetcher,128,insert,None,0.620283,497224053,0.004594,625522,829171,136169321,13765.326399,0,0,213374,513211,726585,29942.90
256,4,OFF,8,HBM2_2000_4H_1x128,None,64,mm,MultiperspectivePerceptron64KB,0.030887,41387702,0.004914,35375,34950,7198392,48271.985866,0,0,35321003,126366970,161687973,30480.24
32,8,ON,1,HBM2_2000_4H_1x128,BOPPrefetcher,64,pen,BiModeBP,0.084502,68244934,0.038853,684236,770946,17610991,19540.259501,0,0,122811618,69782393,192594011,28253.17
256,4,OFF,4,HBM2_2000_4H_1x128,AMPMPrefetcher,64,insert,None,0.615224,497386618,0.000088,11999,18111,136168561,49770.439203,0,0,1123805,6760438,7884243,29138.00
256,2,ON,2,HBM2_2000_4H_1x128,None,128,mm,LocalBP,0.027877,41187631,0.004006,28866,28531,7206114,22892.226148,0,0,11419447,33413477,44832924,28785.45
32,8,ON,1,HBM2_2000_4H_1x128,BOPPrefetcher,32,pen,LocalBP,0.096307,68895304,0.074007,1313030,1312437,17741915,19145.497437,0,0,104346032,42417708,146763740,25974.90
256,8,ON,1,HBM2_2000_4H_1x128,BOPPrefetcher,64,mm,TournamentBP,0.028144,41373238,0.003672,26452,26626,7203273,25512.305308,0,0,10553574,23558507,34112082,26378.23
1,4,OFF,16,HBM2_2000_4H_1x128,None,64,snap,TournamentBP,1.944213,333647889,0.236030,28905065,28843551,122463756,40549.142633,0,0,323239360,1054028209,1377267569,29173.41
128,1,ON,8,HBM2_2000_4H_1x128,None,64,mm,TournamentBP,0.043322,41361569,0.163140,1175458,1175214,7205232,14685.544698,0,0,3727266,5223787,8951053,25931.73
16,8,OFF,8,HBM2_2000_4H_1x128,None,32,quick,None,0.032453,42739077,0.011667,66540,66255,5703308,42311.617072,0,0,43714913,105915041,149629955,27104.18
32,16,OFF,8,HBM2_2000_4H_1x128,BOPPrefetcher,128,pen,BiModeBP,0.108857,67946264,0.021242,373561,439883,17585742,65954.540222,0,0,255186869,747774298,1002961167,33211.22
128,8,ON,4,HBM2_2000_4H_1x128,AMPMPrefetcher,64,mm,LocalBP,0.043421,41374975,0.177762,1282219,1869579,7213127,13539.812232,0,0,5272334,12783603,18055937,24877.25
8,2,OFF,8,HBM2_2000_4H_1x128,BOPPrefetcher,32,quick,None,0.033486,42763910,0.015154,86416,86155,5702614,44350.670015,0,0,53366154,121497735,174863889,27428.09
128,16,OFF,4,HBM2_2000_4H_1x128,AMPMPrefetcher,64,pen,TournamentBP,0.098706,68213910,0.014429,253965,473715,17600530,48693.026598,0,0,229685477,476127640,705813116,27174.75
1,2,ON,2,HBM2_2000_4H_1x128,AMPMPrefetcher,128,insert,None,0.636250,497353461,0.012592,1714686,3628202,136173817,14626.767816,0,0,370571,1160801,1531372,30263.37
128,2,OFF,1,HBM2_2000_4H_1x128,None,64,snap,TournamentBP,0.778872,333039089,0.010164,1230897,1223077,121097786,39096.913064,0,0,86678919,328728341,415407260,29350.36
1,4,OFF,2,HBM2_2000_4H_1x128,SignaturePathPrefetcher,128,pen,MultiperspectivePerceptron64KB,0.457407,68773627,0.363014,6468295,12424255,17818313,57077.606077,0,0,516011867,3537582499,4053594366,29220.96
64,16,OFF,8,HBM2_2000_4H_1x128,BOPPrefetcher,128,pen,LocalBP,0.101880,67924690,0.015482,272270,332586,17586613,65958.774378,0,0,248284323,663079805,911364127,32779.78
1,4,ON,4,HBM2_2000_4H_1x128,SignaturePathPrefetcher,128,snap,MultiperspectivePerceptron64KB,0.937188,324853854,0.260986,30751231,85734204,117827302,14789.403585,0,0,48715467,66406927,115122394,38693.08
16,16,ON,16,HBM2_2000_4H_1x128,BOPPrefetcher,64,snap,MultiperspectivePerceptron64KB,0.560885,322261357,0.022716,2645584,3236187,116465383,19786.523505,0,0,77314504,54273203,131587707,32224.37
128,16,ON,1,HBM2_2000_4H_1x128,None,64,snap,MultiperspectivePerceptron64KB,0.557332,322859462,0.009194,1073283,1066580,116732844,34779.800854,0,0,80929862,66338181,147268044,31539.95
4,1,OFF,1,HBM2_2000_4H_1x128,TaggedPrefetcher,128,mm,BiModeBP,0.216676,41687899,0.414768,3031134,8109288,7308022,62259.995599,0,0,236591253,4810270105,5046861358,26590.06
64,4,ON,16,HBM2_2000_4H_1x128,AMPMPrefetcher,64,quick,MultiperspectivePerceptron64KB,0.026872,42316675,0.003051,17324,31608,5677289,14984.443547,0,0,3877303,6656672,10533975,26724.17
4,4,ON,1,HBM2_2000_4H_1x128,BOPPrefetcher,32,snap,None,0.737283,325951078,0.109525,12947715,12963626,118216664,16645.952703,0,0,62187474,47916349,110103823,29698.21
128,1,ON,1,HBM2_2000_4H_1x128,BOPPrefetcher,32,snap,TournamentBP,0.607176,324864254,0.022787,2682997,2673535,117740613,29346.835088,0,0,72589429,53741029,126330459,29857.66
256,4,OFF,1,HBM2_2000_4H_1x128,AMPMPrefetcher,32,insert,LocalBP,0.616443,497680900,0.000133,18073,31126,136172158,48530.985448,0,0,973846,5011386,5985231,27314.96
2,4,OFF,8,HBM2_2000_4H_1x128,BOPPrefetcher,32,pen,None,0.223335,69257953,0.136449,2429954,2431785,17808455,53133.976610,0,0,173842026,381572228,555414253,27534.84
32,16,OFF,16,HBM2_2000_4H_1x128,TaggedPrefetcher,128,insert,None,0.664831,497339294,0.006260,852606,893241,136194410,59275.468388,0,0,163001701,179463627,342465328,31422.68
128,8,OFF,16,HBM2_2000_4H_1x128,AMPMPrefetcher,128,mm,None,0.119627,41331949,0.178947,1298791,1781164,7257978,70051.349678,0,0,14518724,1938532494,1953051218,34194.01
256,4,OFF,1,HBM2_2000_4H_1x128,BOPPrefetcher,64,quick,TournamentBP,0.029298,42376794,0.002718,15434,16746,5677947,47294.285344,0,0,22272442,101420872,123693314,29306.93
32,4,ON,2,HBM2_2000_4H_1x128,TaggedPrefetcher,32,quick,MultiperspectivePerceptron64KB,0.027611,42561977,0.006256,35687,70143,5704370,16905.778014,0,0,6152994,15226604,21379598,24488.68
128,2,OFF,2,HBM2_2000_4H_1x128,TaggedPrefetcher,64,pen,BiModeBP,0.099263,68232146,0.014803,260609,533817,17605144,49475.647426,0,0,229547147,517033632,746580780,27758.55
1,1,ON,2,HBM2_2000_4H_1x128,BOPPrefetcher,32,snap,LocalBP,1.066807,342487047,0.310352,38753845,38696738,124870672,14146.247450,0,0,40859768,23994541,64854309,29958.24
8,16,OFF,2,HBM2_2000_4H_1x128,AMPMPrefetcher,32,mm,MultiperspectivePerceptron64KB,0.183650,41945388,0.341794,2497037,7807829,7305670,61877.268939,0,0,11898636,1370551477,1382450112,22526.84
16,2,ON,2,HBM2_2000_4H_1x128,TaggedPrefetcher,128,pen,MultiperspectivePerceptron64KB,0.077965,67848911,0.027513,483889,1150696,17587832,18365.848366,0,0,134086562,140026482,274113044,30999.00
2,16,ON,2,HBM2_2000_4H_1x128,BOPPrefetcher,32,insert,TournamentBP,0.715499,497819575,0.062505,8515496,8515780,136237059,13031.154380,0,0,203271,421032,624303,24308.97
128,4,OFF,4,HBM2_2000_4H_1x128,None,32,pen,TournamentBP,0.132135,68955885,0.047835,849247,847779,17753738,46319.457119,0,0,163458548,258877521,422336069,26070.79
16,16,OFF,4,HBM2_2000_4H_1x128,BOPPrefetcher,64,snap,None,0.862951,320318716,0.024430,2844994,3424457,116455452,53702.278634,0,0,132364614,443263652,575628266,30718.27
8,1,OFF,2,HBM2_2000_4H_1x128,AMPMPrefetcher,128,snap,None,1.290574,325819007,0.082833,9877487,17497437,119246341,55980.796330,0,0,414157218,1992902813,2407060031,33955.84
1,1,ON,4,HBM2_2000_4H_1x128,BOPPrefetcher,64,quick,LocalBP,0.034720,42446699,0.125654,714362,749238,5685168,11916.422626,0,0,4468140,11041320,15509461,27690.96
64,1,ON,1,HBM2_2000_4H_1x128,TaggedPrefetcher,64,insert,MultiperspectivePerceptron64KB,0.627872,497399874,0.009153,1246376,1297063,136175721,13156.814236,0,0,444116,1412060,1856176,26869.66
16,1,ON,2,HBM2_2000_4H_1x128,BOPPrefetcher,64,quick,BiModeBP,0.027955,42338588,0.015799,89702,101867,5677611,13584.329223,0,0,7765741,18402424,26168165,27171.06
256,4,ON,8,HBM2_2000_4H_1x128,SignaturePathPrefetcher,128,snap,TournamentBP,0.516161,320906062,0.002859,331974,590761,116096542,44972.527969,0,0,86049945,106613828,192663773,39811.33
128,4,OFF,1,HBM2_2000_4H_1x128,TaggedPrefetcher,64,snap,None,0.774923,334895830,0.007776,947078,1496219,121796124,41857.448911,0,0,86719332,398447727,485167059,28883.18
64,2,ON,1,HBM2_2000_4H_1x128,AMPMPrefetcher,32,snap,BiModeBP,0.591978,324657004,0.015440,1816529,3218926,117652419,30037.148044,0,0,75983907,84129837,160113744,28759.97
64,8,ON,1,HBM2_2000_4H_1x128,None,32,pen,BiModeBP,0.092499,68900507,0.057122,1012896,1011989,17732214,20861.509967,0,0,108178481,43165532,151344013,25943.29
64,8,ON,8,HBM2_2000_4H_1x128,None,64,pen,BiModeBP,0.080490,68245814,0.030560,538023,536971,17605348,19737.912691,0,0,123038326,35121661,158159987,28283.15
4,2,ON,4,HBM2_2000_4H_1x128,BOPPrefetcher,64,quick,BiModeBP,0.027846,42353628,0.015202,86341,103761,5679497,13613.729283,0,0,5281573,12213351,17494924,27326.30
2,1,OFF,16,HBM2_2000_4H_1x128,BOPPrefetcher,128,quick,None,0.052689,42521966,0.117781,669629,687142,5685353,34167.265755,0,0,662503762,1731804718,2394308480,27902.64
8,1,OFF,1,HBM2_2000_4H_1x128,TaggedPrefetcher,128,mm,TournamentBP,0.201588,41610011,0.373294,2723253,7435660,7295202,63735.369795,0,0,171872226,4742111527,4913983753,26637.92
4,4,ON,8,HBM2_2000_4H_1x128,None,32,snap,MultiperspectivePerceptron64KB,0.711926,325798951,0.109464,12933397,12949286,118152553,15764.612112,0,0,59743044,32240264,91983307,31346.81
8,4,ON,16,HBM2_2000_4H_1x128,TaggedPrefetcher,32,mm,LocalBP,0.054635,41646087,0.302770,2191238,6448171,7237314,13450.884614,0,0,3077868,5825986,8903854,24034.16
4,4,ON,2,HBM2_2000_4H_1x128,None,32,insert,BiModeBP,0.713038,497818475,0.060972,8306844,8307048,136241185,13032.903170,0,0,211602,426838,638440,24432.56
64,8,ON,4,HBM2_2000_4H_1x128,BOPPrefetcher,64,insert,LocalBP,0.613080,497392684,0.000325,44190,58484,136160638,16029.497624,0,0,218073,498780,716852,27087.33
2,16,ON,8,HBM2_2000_4H_1x128,SignaturePathPrefetcher,128,insert,MultiperspectivePerceptron64KB,0.625483,497260224,0.007139,972212,2341143,136174548,14464.587971,0,0,244956,796875,1041831,31171.57
128,8,OFF,1,HBM2_2000_4H_1x128,TaggedPrefetcher,64,insert,TournamentBP,0.615706,497396004,0.000139,18963,34137,136168662,46247.481939,0,0,1967381,8520291,10487672,28961.58
16,4,ON,8,HBM2_2000_4H_1x128,None,128,pen,LocalBP,0.080059,67852671,0.031114,547252,547016,17588769,20903.446675,0,0,126274133,111317251,237591383,28486.03
2,8,ON,8,HBM2_2000_4H_1x128,TaggedPrefetcher,128,insert,MultiperspectivePerceptron64KB,0.639801,497326688,0.016579,2257657,2535203,136177494,13130.205563,0,0,225670,744631,970302,30666.70
128,16,OFF,2,HBM2_2000_4H_1x128,TaggedPrefetcher,32,insert,None,0.616640,497693529,0.000185,25168,43527,136175483,46047.937858,0,0,1271925,5718953,6990878,27005.54
64,16,OFF,1,HBM2_2000_4H_1x128,BOPPrefetcher,64,snap,TournamentBP,0.772187,328423515,0.010933,1304676,1468302,119338642,41598.610306,0,0,91888469,343213998,435102467,29501.70
2,8,ON,4,HBM2_2000_4H_1x128,AMPMPrefetcher,64,quick,None,0.027936,42353296,0.016999,96509,225959,5677228,13223.497290,0,0,5044674,12907216,17951890,25680.11
512,2,ON,2,HBM2_2000_4H_1x128,BOPPrefetcher,32,mm,BiModeBP,0.028236,41624821,0.004765,34379,33838,7214418,23070.086390,0,0,5421681,10283515,15705197,24153.82
1,4,ON,1,HBM2_2000_4H_1x128,AMPMPrefetcher,128,quick,LocalBP,0.037771,42276599,0.156331,886072,2433961,5667930,12779.542175,0,0,10214103,32048695,42262798,31133.15
8,2,OFF,16,HBM2_2000_4H_1x128,None,64,insert,None,0.806408,497746327,0.028221,3845664,3845816,136271818,50592.358693,0,0,301911791,308968285,610880076,19748.24
128,1,OFF,8,HBM2_2000_4H_1x128,AMPMPrefetcher,128,quick,LocalBP,0.029423,42218471,0.003363,19049,25518,5663630,56049.976377,0,0,53283214,214066278,267349492,34448.80
512,4,OFF,2,HBM2_2000_4H_1x128,TaggedPrefetcher,32,pen,None,0.106730,68897905,0.019166,339955,601931,17737630,44699.822035,0,0,172630405,301408747,474039152,25324.92
32,1,ON,8,HBM2_2000_4H_1x128,SignaturePathPrefetcher,64,pen,MultiperspectivePerceptron64KB,0.080433,68203868,0.031542,555095,1057281,17598454,18943.002549,0,0,124238701,98684226,222922927,26142.07
2,2,ON,1,HBM2_2000_4H_1x128,None,64,quick,None,0.028900,42372600,0.024997,142110,136529,5685127,14333.847020,0,0,10366299,23161956,33528255,26770.34
16,4,ON,1,HBM2_2000_4H_1x128,AMPMPrefetcher,128,pen,MultiperspectivePerceptron64KB,0.078723,67850211,0.023298,409613,789187,17581621,21461.513673,0,0,139540618,174009123,313549740,31639.75
64,16,ON,4,HBM2_2000_4H_1x128,AMPMPrefetcher,128,pen,TournamentBP,0.073638,67861424,0.010265,180443,338737,17579058,26203.210986,0,0,138138185,127741753,265879938,31325.23
4,4,ON,2,HBM2_2000_4H_1x128,TaggedPrefetcher,128,snap,MultiperspectivePerceptron64KB,0.663217,322006238,0.093434,10893024,26179229,116584960,15129.103039,0,0,70885102,106522099,177407201,36996.64
32,8,OFF,1,HBM2_2000_4H_1x128,TaggedPrefetcher,64,mm,LocalBP,0.160352,41583961,0.295163,2149588,6311836,7282717,61404.579622,0,0,11952902,2536187643,2548140545,22330.98
512,2,ON,16,HBM2_2000_4H_1x128,AMPMPrefetcher,128,mm,TournamentBP,0.027322,41221921,0.001085,7814,11794,7201810,28463.207064,0,0,8573296,22904286,31477582,29465.50
256,1,ON,8,HBM2_2000_4H_1x128,SignaturePathPrefetcher,64,snap,LocalBP,0.536344,322303246,0.007763,904249,1433974,116484386,30354.250876,0,0,80786819,90144393,170931212,29623.51
128,2,ON,4,HBM2_2000_4H_1x128,SignaturePathPrefetcher,128,quick,MultiperspectivePerceptron64KB,0.026825,42190175,0.001643,9321,16009,5671772,22317.991632,0,0,6503822,19960004,26463826,31340.66
4,16,OFF,2,HBM2_2000_4H_1x128,TaggedPrefetcher,64,pen,TournamentBP,0.134472,68397658,0.047345,834378,1979862,17623249,55888.753059,0,0,320888985,1071898570,1392787555,28153.34
256,16,ON,4,HBM2_2000_4H_1x128,AMPMPrefetcher,64,snap,TournamentBP,0.532423,322126199,0.004869,566754,929267,116408852,38907.850672,0,0,81690563,88073094,169763657,29461.28
128,2,OFF,2,HBM2_2000_4H_1x128,TaggedPrefetcher,32,pen,None,0.115878,68923659,0.027338,484956,959119,17739198,48567.553551,0,0,189721056,376818175,566539231,25759.86
128,16,OFF,4,HBM2_2000_4H_1x128,TaggedPrefetcher,128,mm,MultiperspectivePerceptron64KB,0.105787,41294433,0.158269,1146521,3299418,7244110,67311.007823,0,0,16902193,4027766970,4044669164,26423.19
2,1,ON,1,HBM2_2000_4H_1x128,None,128,mm,None,0.067668,41300859,0.401636,2902507,2903017,7226715,14823.779064,0,0,7539820,22012265,29552086,29916.86
32,4,ON,2,HBM2_2000_4H_1x128,BOPPrefetcher,64,snap,TournamentBP,0.557970,322177750,0.017164,1998423,2411274,116430868,23086.653827,0,0,79858915,63485746,143344661,31879.55
64,8,OFF,1,HBM2_2000_4H_1x128,BOPPrefetcher,64,pen,None,0.113012,68275473,0.030105,530273,568604,17613867,50312.232567,0,0,212008154,422285237,634293392,28326.06
32,2,OFF,8,HBM2_2000_4H_1x128,TaggedPrefetcher,32,mm,MultiperspectivePerceptron64KB,0.162327,41896543,0.298395,2175348,6403589,7290166,61285.381006,0,0,10623682,1274598897,1285222579,22177.39
512,2,ON,8,HBM2_2000_4H_1x128,BOPPrefetcher,128,mm,None,0.027531,41201735,0.001581,11390,11523,7206134,33573.090430,0,0,7796758,26435521,34232279,28152.24
64,16,ON,8,HBM2_2000_4H_1x128,SignaturePathPrefetcher,64,snap,TournamentBP,0.536071,321959161,0.007944,924133,1564029,116333314,29520.050144,0,0,80964737,89712600,170677337,29409.79
2,16,ON,4,HBM2_2000_4H_1x128,None,32,pen,MultiperspectivePerceptron64KB,0.105344,68903744,0.130979,2324283,2326117,17745517,15818.508331,0,0,92845956,24383568,117229524,26257.55
4,4,OFF,2,HBM2_2000_4H_1x128,SignaturePathPrefetcher,128,mm,MultiperspectivePerceptron64KB,0.156173,41521713,0.262282,1906632,5351640,7269388,66683.434192,0,0,32967010,4412019985,4444986995,29161.70
64,8,OFF,16,HBM2_2000_4H_1x128,None,128,mm,LocalBP,0.166604,41443119,0.294191,2141578,2141445,7279559,64678.862969,0,0,12021380,1669332207,1681353587,31066.84
4,1,OFF,2,HBM2_2000_4H_1x128,AMPMPrefetcher,64,quick,MultiperspectivePerceptron64KB,0.037539,42560748,0.042709,242604,404070,5680332,35728.302031,0,0,198008968,746269069,944278037,26572.24
64,1,OFF,2,HBM2_2000_4H_1x128,None,64,mm,MultiperspectivePerceptron64KB,0.153037,41595819,0.286761,2088384,2088293,7282654,59655.410116,0,0,49447124,887044035,936491158,29256.32
32,2,OFF,2,HBM2_2000_4H_1x128,None,32,snap,LocalBP,0.918148,321364135,0.029114,3410670,3410424,117148818,43518.380406,0,0,90967793,240474665,331442458,28100.58
128,8,OFF,8,HBM2_2000_4H_1x128,TaggedPrefetcher,64,mm,TournamentBP,0.114942,41490886,0.183838,1334093,3889651,7256902,64553.548366,0,0,13496335,2188654786,2202151121,24335.85
16,2,OFF,8,HBM2_2000_4H_1x128,BOPPrefetcher,128,insert,LocalBP,0.691804,497407922,0.009044,1231908,1622923,136211079,63068.167022,0,0,290251806,307618821,597870627,30543.50
4,16,OFF,4,HBM2_2000_4H_1x128,AMPMPrefetcher,128,quick,None,0.031827,42344080,0.009184,52021,98165,5664060,62244.055285,0,0,130716364,492396342,623112706,34657.52
