l1d_size,l1d_assoc,l2cache,l2assoc,mem_type,l1d_hwp_type,cacheline_size,algorithm,sim_seconds,sim_insts,dcache_overall_miss_rate,dcache_overall_misses,dcache_replacements,dcache_overall_misses,dcache_overall_avg_miss_latency,dram_rank0_total_energy,dram_rank0_avg_power,dram_rank1_total_energy,dram_rank0_avg_power
64,2,ON,16,DDR3_1600_8x8,BOPPrefetcher,128,insert,0.060976,75039899,0.001178,15939,17249,13535216,15893.374741,28442431110,466.455539,28451452485,466.603490
8,2,ON,1,LPDDR5_5500_1x16_BG_BL16,AMPMPrefetcher,64,snap,0.587198,318138840,0.065611,6857162,14310519,104512184,19135.016790,0,0,,
4,4,OFF,1,DDR4_2400_8x8,BOPPrefetcher,32,pen,0.205164,75316568,0.119200,2117021,2119034,17760204,52215.025264,118185370830.440857,576.052336,120308655556.688446,586.401528
1,4,ON,1,LPDDR5_5500_1x16_8B_BL32,TaggedPrefetcher,64,quick,0.011986,35042792,0.081146,160568,387227,1978763,15566.731846,0,0,,
8,8,OFF,4,LPDDR5_5500_1x16_BG_BL16,SignaturePathPrefetcher,32,snap,1.450821,349354238,0.040861,4833085,7710605,118282341,102877.891657,0,0,,
16,1,OFF,16,DDR4_2400_8x8,SignaturePathPrefetcher,64,insert,0.066663,75292507,0.005429,73536,131567,13544500,49683.814730,31426231735.096218,471.416696,29435645780.097248,441.556436
16,16,OFF,4,DDR4_2400_16x4,TaggedPrefetcher,128,mm,0.173160,48023161,0.296294,2164711,6238634,7305955,66822.325705,186389417082.927185,1076.400911,222493823589.305054,1284.904251
4,8,ON,2,LPDDR5_5500_1x16_BG_BL32,SignaturePathPrefetcher,32,insert,0.065806,75164517,0.023337,316362,756443,13555987,14585.670845,0,0,,
512,16,OFF,2,LPDDR5_5500_1x16_8B_BL32,TaggedPrefetcher,64,insert,0.064644,75215204,0.000418,5664,8752,13550625,81095.692090,0,0,,
1,1,OFF,1,DDR3_1600_8x8,SignaturePathPrefetcher,64,pen,0.400554,75502405,0.333402,5920682,11537530,17758397,52665.760296,263347600830,657.458391,264264519555,659.747517
32,4,ON,4,LPDDR5_5500_1x16_8B_BL32,TaggedPrefetcher,64,quick,0.009572,34841466,0.008922,17613,40141,1974086,19734.343950,0,0,,
4,4,OFF,1,LPDDR5_6400_1x16_BG_BL32,TaggedPrefetcher,64,snap,1.952398,348791787,0.097349,11469157,24899702,117815439,92419.899736,0,0,,
128,16,ON,8,DDR3_1600_8x8,None,128,pen,0.076653,74242339,0.013305,233570,232218,17555056,33966.883590,37793899005,493.051792,37760257515,492.612912
1,1,OFF,16,DDR4_2400_4x16,AMPMPrefetcher,128,mm,0.297663,48877555,0.586630,4320288,10987663,7364584,62448.849706,175431851227.513611,589.364789,,
4,8,ON,4,LPDDR5_6400_1x16_BG_BL16,BOPPrefetcher,128,quick,0.009802,34884447,0.023446,46035,52542,1963477,16445.454545,0,0,,
64,2,ON,4,LPDDR5_5500_1x16_8B_BL32,None,128,insert,0.061190,75031812,0.001170,15836,15731,13538234,22605.487497,0,0,,
256,16,ON,2,LPDDR5_5500_1x16_8B_BL32,None,64,pen,0.080004,74465870,0.020072,352819,350512,17577688,26326.582469,0,0,,
64,1,ON,2,LPDDR5_5500_1x16_BG_BL16,BOPPrefetcher,32,snap,0.559680,317791024,0.054403,5684775,5683430,104494469,20023.562674,0,0,,
8,4,OFF,16,LPDDR5_5500_1x16_BG_BL32,SignaturePathPrefetcher,128,mm,0.215801,48298657,0.262494,1920156,4140554,7315057,96290.253761,0,0,,
16,16,OFF,2,DDR4_2400_8x8,TaggedPrefetcher,64,mm,0.149197,48009229,0.296311,2157238,6327499,7280327,55981.251026,84752997852.952942,568.061558,98414534075.743576,659.628744
64,1,ON,16,LPDDR5_6400_1x16_BG_BL32,SignaturePathPrefetcher,128,pen,0.078120,74225746,0.020215,354652,586196,17543703,26070.414096,0,0,,
32,4,ON,8,DDR3_1600_8x8,TaggedPrefetcher,128,insert,0.061066,75024219,0.001038,14057,33715,13543009,17472.255816,28520144100,467.035816,28529023950,467.181229
16,1,ON,2,DDR4_2400_8x8,SignaturePathPrefetcher,128,quick,0.009927,34833857,0.028857,56666,75354,1963689,15273.338510,4490779197.508740,452.397522,4463261974.802340,449.625459
2,16,ON,2,DDR4_2400_8x8,TaggedPrefetcher,64,quick,0.010236,34904435,0.038209,74899,184605,1960230,14385.799543,4638303322.245544,453.148224,4608314876.423937,450.218443
32,16,OFF,2,LPDDR5_6400_1x16_BG_BL32,SignaturePathPrefetcher,128,pen,0.122997,74490433,0.013112,230229,455153,17558664,126990.906880,0,0,,
64,2,ON,4,DDR4_2400_8x8,BOPPrefetcher,32,snap,0.504482,317334689,0.021560,2249233,2247295,104322342,26913.430712,227471712818.723114,450.901900,227690088917.329956,451.334772
8,8,OFF,1,LPDDR5_5500_1x16_BG_BL32,AMPMPrefetcher,64,snap,1.501889,342665437,0.055086,6345084,12999986,115184344,99141.894181,0,0,,
4,1,ON,4,DDR3_1600_8x8,None,32,insert,0.069539,75178838,0.050309,682056,682308,13557452,13231.403287,32486740140,467.172505,32517714990,467.617936
512,1,ON,2,DDR4_2400_8x8,SignaturePathPrefetcher,32,mm,0.028513,47691080,0.004026,29074,46228,7221460,31974.788471,12430732067.460190,435.964301,12411654841.404207,435.295234
2,2,OFF,1,DDR3_2133_8x8,AMPMPrefetcher,128,mm,0.184789,48413949,0.347463,2535135,7268997,7296122,61698.184120,166372476350.135498,900.338495,175057279593.671265,947.337030
64,8,OFF,2,DDR3_1600_8x8,AMPMPrefetcher,128,quick,0.011567,34952944,0.005136,10047,15995,1956346,76138.946949,6359714745,549.808984,6449656860,557.584645
2,8,ON,4,LPDDR5_6400_1x16_BG_BL32,None,64,pen,0.094907,74516792,0.091640,1611091,1612695,17580626,15815.408316,0,0,,
2,8,ON,8,DDR3_1600_8x8,BOPPrefetcher,128,pen,0.098976,74363071,0.111461,1958049,2241681,17567146,16131.411931,48405294735,489.059869,48392745495,488.933078
64,2,ON,16,LPDDR5_6400_1x16_8B_BL32,AMPMPrefetcher,128,mm,0.056719,47721921,0.301635,2178558,5510932,7222502,14530.737993,0,0,,
4,2,OFF,1,LPDDR5_6400_1x16_BG_BL32,AMPMPrefetcher,32,insert,0.106116,75380393,0.025990,349551,860167,13449515,116907.511350,0,0,,
128,1,OFF,2,LPDDR5_6400_1x16_BG_BL16,None,128,mm,0.115441,48034427,0.149131,1082411,1082234,7258131,78469.481094,0,0,,
1,16,OFF,1,DDR4_2400_4x16,AMPMPrefetcher,128,quick,,,,,,,,,,,
2,1,ON,1,LPDDR5_5500_1x16_BG_BL16,None,64,pen,0.129501,74641918,0.210931,3710641,3712059,17591725,16203.341552,0,0,,
512,16,OFF,1,DDR3_2133_8x8,AMPMPrefetcher,64,snap,0.608877,319645571,0.004432,466132,575688,105166641,34819.396652,386615919796.243042,634.966034,381704817103.908813,626.900191
32,1,ON,1,LPDDR5_6400_1x16_8B_BL32,AMPMPrefetcher,64,insert,0.062218,75119282,0.002700,36571,68328,13547119,24293.401876,0,0,,
512,8,OFF,8,DDR4_2400_8x8,SignaturePathPrefetcher,32,pen,0.108215,74979361,0.019566,346185,603842,17693159,47177.208718,59478300501.462151,549.630182,59580655924.908936,550.576033
512,8,OFF,8,DDR4_2400_4x16,AMPMPrefetcher,64,quick,0.011167,34970643,0.002511,4920,7233,1959298,56548.170732,3330980640.573634,298.297192,,
16,2,ON,8,LPDDR5_5500_1x16_BG_BL16,AMPMPrefetcher,64,snap,0.518476,317644860,0.030271,3157683,5622602,104313527,22546.439905,0,0,,
2,16,ON,1,LPDDR5_5500_1x16_BG_BL16,None,32,snap,0.754103,320052883,0.187834,19808596,19821212,105458230,15489.570614,0,0,,
32,16,ON,16,DDR3_2133_8x8,AMPMPrefetcher,64,snap,0.473165,315517930,0.011995,1239966,2147455,103369797,24204.617707,261306643175.376587,552.253044,261127249729.871094,551.873909
256,16,ON,2,DDR3_1600_8x8,AMPMPrefetcher,64,mm,0.027883,47680096,0.002249,16221,28392,7211600,28983.848098,13209125160,473.726832,13260029670,475.552451
1,2,OFF,1,LPDDR5_5500_1x16_8B_BL32,AMPMPrefetcher,128,mm,0.429676,49352688,0.468882,3491842,9212458,7447161,114092.730427,0,0,,
512,1,OFF,16,DDR4_2400_8x8,SignaturePathPrefetcher,64,mm,0.030169,47807847,0.002623,18889,26987,7202308,48138.996241,14036605015.238562,465.272684,13873238362.048985,459.857554
1,1,OFF,8,DDR3_1600_8x8,TaggedPrefetcher,32,pen,0.374976,75970432,0.283939,5075509,12512232,17875333,55137.354000,255782432325,682.130217,259962255195,693.277126
1,16,OFF,16,DDR4_2400_16x4,None,32,insert,0.110779,75206262,0.067478,907858,908172,13454058,52957.613966,118724649744.562195,1071.722235,97162645409.601593,877.082963
32,1,ON,16,LPDDR5_5500_1x16_BG_BL32,TaggedPrefetcher,128,quick,0.009634,34877158,0.018075,35736,84765,1977044,16496.977837,0,0,,
8,16,ON,16,DDR3_2133_8x8,AMPMPrefetcher,64,mm,0.057101,47712251,0.322944,2331525,8894684,7219594,13778.887209,30410558879.236042,532.574033,30419266228.180012,532.726523
64,2,OFF,1,LPDDR5_6400_1x16_BG_BL32,AMPMPrefetcher,64,mm,0.301344,48314384,0.294925,2175416,6398036,7376178,124231.655922,0,0,,
8,4,ON,2,LPDDR5_6400_1x16_BG_BL16,SignaturePathPrefetcher,64,quick,0.009956,34909549,0.016653,32756,55602,1967028,20444.636097,0,0,,
4,2,OFF,2,LPDDR5_5500_1x16_BG_BL32,BOPPrefetcher,128,insert,0.083096,75189159,0.013461,180831,248185,13433604,107388.005928,0,0,,
16,16,OFF,2,LPDDR5_5500_1x16_8B_BL32,AMPMPrefetcher,32,mm,0.370617,48608187,0.308293,2288263,6806271,7422360,147432.323120,0,0,,
2,1,OFF,8,LPDDR5_6400_1x16_BG_BL16,BOPPrefetcher,64,mm,0.246831,48734323,0.357732,2625300,2772572,7338740,82370.329867,0,0,,
512,2,ON,4,DDR4_2400_8x8,None,32,mm,0.028245,47717301,0.005060,36531,35886,7219775,24820.002190,12193667235.338593,431.706933,12129206062.125799,429.424738
128,16,ON,1,LPDDR5_5500_1x16_BG_BL16,None,128,pen,0.082416,74219180,0.013303,233427,232044,17546866,49762.139770,0,0,,
256,4,ON,4,DDR4_2400_16x4,TaggedPrefetcher,128,pen,0.072384,74191482,0.005796,101695,212324,17544397,34511.608240,63887637119.039688,882.626920,63815255183.399971,881.626942
512,8,OFF,1,LPDDR5_6400_1x16_8B_BL32,TaggedPrefetcher,64,insert,0.064378,75213785,0.000426,5774,8764,13539774,78792.258400,0,0,,
512,16,ON,16,DDR3_2133_8x8,TaggedPrefetcher,128,quick,0.009070,34835359,0.001509,2971,6236,1968627,24824.974756,4896400476.575916,539.872066,4909826892.263923,541.352449
128,16,ON,1,DDR3_2133_8x8,AMPMPrefetcher,32,quick,0.010193,34913683,0.009592,18973,39515,1978089,28565.566858,5756667403.535914,564.762919,5751835720.511922,564.288903
64,2,ON,8,DDR3_2133_8x8,AMPMPrefetcher,32,snap,0.496449,317445766,0.016448,1716892,3043019,104381664,26534.455574,277780614458.683105,559.534800,277663685273.443665,559.299269
2,1,OFF,4,DDR4_2400_8x8,AMPMPrefetcher,32,quick,0.021395,35706226,0.096624,197534,433554,2044358,46236.769240,12615529241.011185,589.641728,12331912862.959234,576.385681
32,4,ON,1,DDR4_2400_8x8,None,32,mm,0.055233,47789958,0.302872,2191939,2191857,7237180,13455.695391,24025847927.153900,434.993907,24126455993.823479,436.815441
512,2,ON,16,DDR4_2400_4x16,AMPMPrefetcher,32,insert,0.061191,75076185,0.000685,9278,17723,13543608,16685.654236,13352915773.701572,218.217948,,
64,16,ON,8,DDR4_2400_8x8,BOPPrefetcher,32,insert,0.061621,75088231,0.002985,40441,40240,13546335,15683.019708,26020259733.196926,422.265533,25973469268.872124,421.506202
4,2,OFF,4,LPDDR5_5500_1x16_BG_BL16,SignaturePathPrefetcher,32,snap,2.309056,360687595,0.113785,14013066,23493004,123153753,92399.354645,0,0,,
512,1,ON,4,DDR3_1600_8x8,TaggedPrefetcher,64,quick,0.009275,34865871,0.004035,7934,16632,1966518,19556.465843,4434350565,478.088849,4459732185,480.825364
1,16,OFF,8,LPDDR5_5500_1x16_BG_BL16,SignaturePathPrefetcher,32,insert,0.114140,75517827,0.031805,428028,982780,13457739,115041.757782,0,0,,
4,16,ON,1,LPDDR5_6400_1x16_BG_BL16,BOPPrefetcher,32,mm,0.057326,47861523,0.318065,2305157,2305476,7247433,13584.287751,0,0,,
32,2,OFF,4,DDR4_2400_16x4,TaggedPrefetcher,64,pen,0.110576,74624036,0.024103,423489,948967,17569957,55135.435631,116271795119.021072,1051.509649,117630685437.383835,1063.798840
128,8,ON,2,DDR4_2400_16x4,AMPMPrefetcher,32,insert,0.061794,75072200,0.001451,19662,41052,13553951,23160.054928,52375786134.068626,847.590157,52344913056.241486,847.090542
16,16,ON,1,LPDDR5_5500_1x16_BG_BL16,TaggedPrefetcher,64,snap,0.523638,317425689,0.019196,2000179,4071413,104196290,31934.488113,0,0,,
128,1,OFF,4,LPDDR5_6400_1x16_BG_BL32,BOPPrefetcher,128,snap,0.957479,327934773,0.030493,3323235,3719870,108982311,63044.532812,0,0,,
32,2,OFF,16,DDR4_2400_4x16,AMPMPrefetcher,128,mm,0.177017,48054637,0.302429,2206029,6555692,7294361,67238.019536,105006999145.499008,593.201919,,
256,1,OFF,4,DDR3_2133_8x8,BOPPrefetcher,128,snap,0.727969,320038166,0.028026,2956993,3308898,105508893,42470.868379,474114952446.638855,651.284889,501648651732.472290,689.107535
256,4,OFF,2,DDR3_1600_8x8,SignaturePathPrefetcher,128,quick,0.011357,34980063,0.003077,6074,10232,1973855,75196.575568,6168138060,543.123466,6254295240,550.709870
16,16,OFF,8,LPDDR5_6400_1x16_BG_BL32,AMPMPrefetcher,64,quick,0.014917,35165083,0.013061,25806,47530,1975812,100925.773076,0,0,,
256,4,OFF,8,LPDDR5_6400_1x16_BG_BL32,BOPPrefetcher,128,insert,0.064607,75212740,0.000673,9114,8840,13542290,100037.689269,0,0,,
256,2,OFF,2,LPDDR5_6400_1x16_8B_BL32,TaggedPrefetcher,32,snap,1.019482,339322312,0.011789,1342997,1732262,113923556,95906.480058,0,0,,
64,8,OFF,8,LPDDR5_6400_1x16_8B_BL32,None,64,quick,0.013852,35140836,0.011575,22966,22837,1984164,72289.776191,0,0,,
16,2,ON,16,LPDDR5_6400_1x16_8B_BL32,SignaturePathPrefetcher,128,insert,0.061228,75031033,0.002123,28743,44623,13538391,16036.687193,0,0,,
2,2,ON,1,LPDDR5_5500_1x16_8B_BL32,SignaturePathPrefetcher,128,pen,0.131387,74383722,0.219300,3856735,6582800,17586566,16494.852771,0,0,,
64,1,OFF,16,LPDDR5_6400_1x16_BG_BL16,None,64,quick,0.014668,35130572,0.016038,31692,31289,1976017,74403.997854,0,0,,
8,16,OFF,8,LPDDR5_5500_1x16_BG_BL16,None,128,mm,0.247505,48329133,0.298074,2186334,2186600,7334872,99116.597464,0,0,,
128,1,OFF,8,DDR4_2400_8x8,BOPPrefetcher,128,insert,0.063776,75151165,0.001217,16479,17257,13540260,66314.157412,27889660981.473560,437.305552,27890407522.737549,437.317258
256,8,ON,16,DDR4_2400_16x4,None,128,insert,0.060908,75005467,0.000653,8846,8560,13536369,18954.386163,51258817236.414200,841.571899,51270318138.212631,841.760722
128,16,ON,1,DDR3_2133_8x8,BOPPrefetcher,32,insert,0.062397,75109351,0.002659,36029,35717,13552232,26149.782120,33392534609.789047,535.165383,33384879831.917023,535.042704
512,16,OFF,4,LPDDR5_5500_1x16_BG_BL16,SignaturePathPrefetcher,32,snap,0.914750,334320868,0.008238,920683,1088737,111756121,90097.680198,0,0,,
1,2,ON,2,DDR3_1600_8x8,AMPMPrefetcher,64,insert,0.066715,75231581,0.030717,416261,1041652,13551453,14277.548216,31269145170,468.695433,31317580470,469.421433
64,2,OFF,2,LPDDR5_5500_1x16_BG_BL32,TaggedPrefetcher,128,insert,0.065663,75283051,0.000964,13055,26283,13547783,115833.435465,0,0,,
16,16,OFF,16,LPDDR5_5500_1x16_8B_BL32,BOPPrefetcher,64,mm,0.217621,48256588,0.296630,2170182,2237855,7316126,86246.942192,0,0,,
4,2,OFF,2,LPDDR5_6400_1x16_BG_BL32,AMPMPrefetcher,32,insert,0.106116,75380393,0.025990,349551,860167,13449515,116907.511350,0,0,,
2,4,ON,8,LPDDR5_6400_1x16_BG_BL32,None,64,snap,0.674563,317714784,0.160352,16729202,16740817,104328160,14394.181832,0,0,,
512,4,ON,2,DDR4_2400_8x8,TaggedPrefetcher,64,pen,0.075965,74446548,0.009541,167598,310857,17565927,33166.624900,34651276600.932404,456.149023,34656134117.148415,456.212967
2,16,OFF,8,DDR4_2400_4x16,AMPMPrefetcher,32,quick,0.018027,35548578,0.047399,96608,248826,2038203,56457.084299,7253652504.615976,402.378803,,
2,8,OFF,2,DDR3_2133_8x8,BOPPrefetcher,32,quick,0.017569,35528024,0.050179,102626,102683,2045188,50357.823553,11479851370.007874,653.409345,11807614845.263910,672.064963
2,1,OFF,4,DDR4_2400_4x16,BOPPrefetcher,64,insert,0.088157,75181899,0.037504,504026,550184,13439236,50759.562999,30043036382.638523,340.791679,,
4,16,OFF,2,LPDDR5_6400_1x16_BG_BL16,None,64,quick,0.017144,35485563,0.027395,55705,55829,2033404,79394.093887,0,0,,
2,16,ON,16,LPDDR5_6400_1x16_BG_BL32,AMPMPrefetcher,64,pen,0.109865,74545039,0.152403,2679969,9646696,17584733,15528.343238,0,0,,
4,8,OFF,16,DDR4_2400_8x8,None,32,pen,0.202720,75301000,0.117036,2077756,2079567,17753122,52187.037361,116643803074.291626,575.392892,118828139865.942062,586.168020
1,4,OFF,8,LPDDR5_6400_1x16_BG_BL32,TaggedPrefetcher,128,quick,0.032999,36273737,0.123069,251345,584846,2042310,79020.670771,0,0,,
64,1,OFF,8,LPDDR5_5500_1x16_BG_BL32,AMPMPrefetcher,32,mm,0.311083,48505915,0.290504,2146796,6172365,7389899,129563.140140,0,0,,
4,8,ON,4,LPDDR5_5500_1x16_BG_BL16,BOPPrefetcher,64,mm,0.054564,47726427,0.307019,2216006,2312118,7217816,13216.684657,0,0,,
4,16,OFF,16,DDR3_2133_8x8,BOPPrefetcher,64,pen,0.157923,74795978,0.070498,1241081,1449180,17604524,55941.840621,110436444615.840637,699.306907,108865468468.513474,689.359154
32,1,ON,8,LPDDR5_6400_1x16_8B_BL32,None,32,snap,0.568499,318199211,0.064528,6755515,6755637,104691067,18602.576710,0,0,,
256,8,ON,16,LPDDR5_5500_1x16_BG_BL16,AMPMPrefetcher,32,snap,0.533048,321249560,0.010428,1105980,1479889,106058302,81618.625563,0,0,,
64,8,ON,2,DDR4_2400_16x4,AMPMPrefetcher,32,snap,0.496778,317615161,0.012321,1286877,2167488,104448287,33414.461910,443042605622.260193,891.832865,442739253279.749329,891.222225
4,1,ON,16,LPDDR5_6400_1x16_8B_BL32,AMPMPrefetcher,128,quick,0.010852,34937224,0.071332,140540,233423,1970225,13690.362174,0,0,,
1,2,ON,2,LPDDR5_6400_1x16_BG_BL32,BOPPrefetcher,128,quick,0.012674,35004788,0.126790,249862,284432,1970676,14615.621823,0,0,,
2,4,ON,2,DDR3_2133_8x8,TaggedPrefetcher,128,pen,0.125870,74382696,0.225933,3971001,10559393,17576023,15138.966346,69489009447.301132,552.068267,69403062762.253311,551.385448
512,8,ON,2,LPDDR5_6400_1x16_BG_BL16,AMPMPrefetcher,32,mm,0.028839,47719991,0.002940,21229,31981,7221595,62217.344199,0,0,,
2,8,OFF,2,DDR4_2400_8x8,SignaturePathPrefetcher,32,pen,0.180682,75324921,0.088550,1570752,3480196,17738654,55201.966001,106694880519.779419,590.513276,109471558174.271286,605.881070
512,1,OFF,2,LPDDR5_6400_1x16_BG_BL32,SignaturePathPrefetcher,32,insert,0.066816,75336807,0.001106,14988,23164,13548378,97129.937216,0,0,,
32,8,OFF,16,DDR4_2400_16x4,None,64,mm,0.147881,48003288,0.296860,2161940,2161902,7282683,55273.869303,150867078696.129547,1020.190539,159831629420.941345,1080.810456
2,1,OFF,4,DDR3_1600_8x8,BOPPrefetcher,32,snap,2.205193,347087919,0.227127,26620686,26629210,117205942,52283.291328,1316499175575,596.999632,1405426924020,637.326154
1,2,ON,16,LPDDR5_6400_1x16_BG_BL16,AMPMPrefetcher,32,snap,0.953999,325066395,0.324378,34931786,105682074,107688446,15220.291642,0,0,,
256,2,OFF,2,DDR4_2400_8x8,None,32,snap,0.702635,323106103,0.014117,1507673,1499088,106797179,27462.171505,370394762610.120483,527.151198,373267765940.929749,531.240098
128,1,ON,8,DDR3_2133_8x8,None,128,pen,0.077884,74218970,0.020173,353925,352814,17544674,26481.197994,43560166531.226295,559.293256,43537894058.906357,559.007287
128,8,ON,2,LPDDR5_5500_1x16_BG_BL32,TaggedPrefetcher,32,snap,0.540854,320929111,0.013280,1406501,1883581,105908746,68875.943208,0,0,,
128,8,ON,4,DDR3_2133_8x8,None,64,snap,0.472725,315944328,0.008736,904645,900847,103548728,31416.409199,260672724232.990784,551.425463,260585571400.008667,551.241100
16,4,OFF,4,DDR4_2400_4x16,SignaturePathPrefetcher,32,mm,0.122007,48099396,0.247859,1802187,4582055,7271012,51249.026877,56599445758.494614,463.903159,,
8,8,ON,16,LPDDR5_6400_1x16_BG_BL32,None,64,pen,0.087232,74513229,0.057368,1008280,1008587,17575521,17344.338378,0,0,,
64,1,OFF,4,LPDDR5_6400_1x16_BG_BL32,TaggedPrefetcher,32,pen,0.181084,75310413,0.041752,740620,1486446,17738470,103116.999271,0,0,,
256,1,ON,2,LPDDR5_5500_1x16_BG_BL16,SignaturePathPrefetcher,32,insert,0.061926,75093378,0.001417,19184,34154,13539903,30118.979358,0,0,,
64,4,ON,16,LPDDR5_6400_1x16_8B_BL32,AMPMPrefetcher,32,quick,0.009596,34915038,0.011097,21947,48708,1977697,16900.829271,0,0,,
256,16,OFF,8,LPDDR5_6400_1x16_BG_BL32,AMPMPrefetcher,32,snap,0.996432,338468591,0.010584,1201875,1485565,113555731,91980.326157,0,0,,
64,2,ON,8,DDR4_2400_8x8,AMPMPrefetcher,64,snap,0.471906,315327754,0.011545,1192469,1992013,103290393,24717.200196,210159456100.483002,445.341415,210088591447.687775,445.191249
1,16,ON,2,LPDDR5_5500_1x16_8B_BL32,None,128,quick,,,,,,,,,,,
1,16,OFF,1,DDR4_2400_4x16,AMPMPrefetcher,32,quick,0.022208,35814951,0.084284,172783,478323,2050006,54333.580202,9677338054.117994,435.753251,,
8,16,ON,8,DDR4_2400_8x8,None,128,insert,0.062547,75016221,0.010386,140609,140781,13538885,13464.276824,26409553285.464035,422.236445,26359134093.211193,421.430342
1,4,OFF,2,LPDDR5_5500_1x16_BG_BL16,AMPMPrefetcher,64,pen,0.672917,76359209,0.302221,5415235,13855469,17918143,104581.912880,0,0,,
128,8,ON,1,LPDDR5_5500_1x16_8B_BL32,SignaturePathPrefetcher,128,pen,0.077218,74254400,0.007356,129118,252345,17551759,50742.603665,0,0,,
16,2,ON,2,DDR4_2400_16x4,SignaturePathPrefetcher,128,mm,0.041059,47685436,0.149738,1080353,3420302,7214976,13561.303111,35059142431.322807,853.882087,34988746732.869980,852.167566
256,1,ON,2,DDR4_2400_4x16,TaggedPrefetcher,128,mm,0.031660,47655230,0.038636,278484,798781,7207948,16658.009078,7250995284.929070,229.024664,,
16,8,ON,4,DDR4_2400_8x8,AMPMPrefetcher,128,insert,0.061254,75034022,0.002095,28353,48724,13532482,16688.110606,25946397897.753822,423.585503,25915929240.093807,423.088090
128,1,ON,4,LPDDR5_5500_1x16_BG_BL32,None,128,quick,0.009474,34876756,0.007714,15245,15103,1976392,23680.223024,0,0,,
128,8,OFF,1,DDR4_2400_16x4,TaggedPrefetcher,32,quick,0.012756,35059048,0.011879,23504,40860,1978567,47632.509360,12357915515.735897,968.825716,12348180715.214277,968.062535
8,16,ON,8,DDR3_2133_8x8,None,128,pen,0.081214,74268644,0.035898,630315,632026,17558552,20203.886945,45366606132.121399,558.605164,45345189813.673454,558.341462
64,1,ON,1,DDR4_2400_4x16,None,32,mm,0.055460,47813981,0.294825,2134601,2134454,7240232,13864.201553,12977692641.347958,234.001274,,
1,1,ON,2,LPDDR5_5500_1x16_8B_BL32,None,32,mm,0.060984,47923328,0.355566,2577913,2578399,7250174,13823.197874,0,0,,
64,16,OFF,8,LPDDR5_5500_1x16_8B_BL32,SignaturePathPrefetcher,32,snap,1.070911,339719166,0.013938,1590206,2078520,114088285,94482.197904,0,0,,
16,16,ON,2,LPDDR5_6400_1x16_BG_BL32,BOPPrefetcher,32,quick,0.010673,34978129,0.026670,52979,52961,1986443,21153.862851,0,0,,
512,4,OFF,16,DDR3_2133_8x8,SignaturePathPrefetcher,128,insert,0.062895,75112557,0.000270,3657,5722,13544775,68714.656823,34245113407.349209,544.477104,34339529410.709213,545.978263
32,8,OFF,4,DDR4_2400_16x4,BOPPrefetcher,128,insert,0.063970,75156406,0.001339,18136,18196,13542897,68116.646449,55417073288.406059,866.295058,55383147680.079651,865.764723
256,16,OFF,1,DDR4_2400_8x8,SignaturePathPrefetcher,128,insert,0.062909,75139705,0.000432,5850,10086,13533212,70726.495726,27291696638.923244,433.831333,27305269389.650436,434.047087
128,2,ON,4,LPDDR5_6400_1x16_BG_BL32,AMPMPrefetcher,64,insert,0.061312,75032465,0.000988,13379,24550,13544288,22946.595411,0,0,,
8,2,ON,4,LPDDR5_6400_1x16_BG_BL16,None,128,pen,0.091956,74316486,0.067191,1180663,1182338,17571648,19880.180881,0,0,,
4,4,OFF,1,DDR3_2133_8x8,None,32,pen,0.206761,75290316,0.119286,2116991,2119002,17747200,52804.516410,144633722263.127411,699.521761,142792110982.753174,690.614798
1,4,OFF,4,LPDDR5_6400_1x16_BG_BL16,SignaturePathPrefetcher,128,snap,4.634587,364609808,0.288305,35883227,89629375,124462608,102468.766953,0,0,,
64,4,ON,2,DDR4_2400_8x8,AMPMPrefetcher,32,quick,0.009989,34897267,0.011570,22886,48919,1978073,22118.369265,4581902323.672745,458.709262,4551297392.543935,455.645302
256,2,OFF,1,LPDDR5_5500_1x16_BG_BL32,BOPPrefetcher,64,insert,0.065381,75274006,0.001038,14055,15712,13540465,82545.642120,0,0,,
64,4,ON,16,LPDDR5_6400_1x16_BG_BL16,None,64,insert,0.061181,75048797,0.001698,22983,22809,13533898,16159.465692,0,0,,
32,8,ON,4,LPDDR5_6400_1x16_8B_BL32,None,32,insert,0.062020,75140071,0.003456,46837,46759,13554272,17879.721161,0,0,,
64,16,ON,1,LPDDR5_6400_1x16_BG_BL32,TaggedPrefetcher,32,mm,0.056084,47794812,0.298692,2161317,6376095,7235944,13941.468558,0,0,,
256,4,OFF,8,LPDDR5_6400_1x16_BG_BL16,None,32,mm,0.034692,47982835,0.007385,53342,52926,7223220,56504.330546,0,0,,
1,1,OFF,1,LPDDR5_5500_1x16_BG_BL32,SignaturePathPrefetcher,32,quick,0.032853,36274155,0.116034,239140,326713,2060949,76867.360115,0,0,,
2,16,ON,8,DDR4_2400_4x16,TaggedPrefetcher,128,mm,0.060345,47811223,0.328748,2375740,6868297,7226639,14888.447599,13387006534.607260,221.839489,,
256,2,ON,8,DDR4_2400_8x8,AMPMPrefetcher,128,quick,0.009089,34825501,0.003365,6585,9774,1957120,20792.710706,3973578306.650348,437.173927,3932863872.940742,432.694516
2,8,OFF,4,DDR4_2400_16x4,None,64,mm,0.154702,48181265,0.313676,2284978,2285439,7284507,55210.366577,160576232292.605774,1037.972369,167129812839.391815,1080.335024
