l1d_size,l1d_assoc,l2cache,l2assoc,mem_type,l1d_hwp_type,cacheline_size,sim_seconds,sim_insts,dcache_overall_miss_rate,dcache_overall_misses,dcache_replacements
128,2,OFF,4,DDR4_2400_16x4,AMPMPrefetcher,128,0.109194,158744317,0.170018,1181911,2338638
256,4,ON,1,DDR4_2400_4x16,None,64,0.032626,158272407,0.004515,31345,30676
512,1,ON,8,DDR4_2400_16x4,BOPPrefetcher,128,0.037504,158232296,0.057676,400329,413106
64,8,OFF,2,DDR4_2400_8x8,TaggedPrefetcher,128,0.173027,158790784,0.307185,2138679,6187250
256,1,OFF,2,DDR4_2400_8x8,TaggedPrefetcher,32,0.050916,158790309,0.048708,338137,939305
128,2,OFF,4,DDR4_2400_8x8,BOPPrefetcher,32,0.107469,158787761,0.193477,1344816,1344087
32,2,OFF,4,DDR4_2400_8x8,BOPPrefetcher,32,0.151495,158778776,0.315379,2193175,2192455
128,16,OFF,16,DDR4_2400_16x4,AMPMPrefetcher,64,0.104444,158755524,0.182584,1269210,1615066
128,1,ON,2,DDR4_2400_8x8,AMPMPrefetcher,64,0.047704,158162341,0.173146,1202146,6004707
32,8,OFF,16,DDR3_2133_8x8,BOPPrefetcher,32,0.148704,158743521,0.314861,2189423,2188714
64,16,OFF,4,DDR4_2400_8x8,None,64,0.150058,158822748,0.309618,2153537,2152880
256,2,ON,2,DDR4_2400_8x8,BOPPrefetcher,128,0.035246,158270443,0.032185,223548,232135
32,2,OFF,2,DDR3_1600_8x8,None,64,0.152114,158737946,0.311001,2162813,2162151
256,16,ON,1,DDR4_2400_8x8,None,64,0.032494,158230715,0.004119,28588,27911
64,1,OFF,8,DDR3_1600_8x8,AMPMPrefetcher,64,0.153098,158755875,0.309396,2152544,6267494
32,8,ON,16,DDR4_2400_4x16,None,64,0.058202,158170943,0.310356,2155421,2154853
512,4,ON,2,DDR4_2400_16x4,SignaturePathPrefetcher,64,0.032699,158206610,0.001582,10982,18997
64,8,ON,1,DDR4_2400_16x4,SignaturePathPrefetcher,64,0.045040,158173745,0.146492,1017059,4056245
64,4,OFF,4,DDR4_2400_16x4,SignaturePathPrefetcher,32,0.101688,158798591,0.205060,1424193,3535187
256,1,OFF,8,DDR4_2400_4x16,BOPPrefetcher,128,0.103699,158786263,0.171664,1193820,1235142
64,4,ON,4,DDR3_2133_8x8,TaggedPrefetcher,64,0.060232,158200147,0.307982,2140120,6297947
256,1,ON,1,DDR3_2133_8x8,AMPMPrefetcher,128,0.042664,158210645,0.102428,711560,2010502
32,4,OFF,4,DDR3_2133_8x8,TaggedPrefetcher,32,0.146272,158800595,0.312591,2172698,6390434
256,8,ON,4,DDR3_2133_8x8,SignaturePathPrefetcher,32,0.032447,158256867,0.003954,27438,53663
32,16,OFF,2,DDR4_2400_4x16,AMPMPrefetcher,64,0.161619,158797287,0.315253,2193802,6724268
128,8,OFF,2,DDR3_2133_8x8,SignaturePathPrefetcher,64,0.071812,158779594,0.100725,699695,1675273
128,2,OFF,16,DDR3_2133_8x8,BOPPrefetcher,64,0.082661,158773560,0.133300,925370,946483
64,8,ON,8,DDR3_1600_8x8,TaggedPrefetcher,128,0.062313,158247866,0.306996,2132619,6184203
128,4,ON,2,DDR4_2400_16x4,TaggedPrefetcher,64,0.046159,158223426,0.153199,1063530,3075960
256,16,OFF,1,DDR4_2400_16x4,BOPPrefetcher,32,0.033722,158769695,0.007449,51666,50918
32,2,ON,2,DDR3_2133_8x8,None,64,0.058068,158175362,0.311360,2162298,2161718
128,4,ON,2,DDR4_2400_16x4,TaggedPrefetcher,128,0.047214,158205361,0.151175,1049705,2993252
256,16,OFF,4,DDR4_2400_4x16,AMPMPrefetcher,32,0.032480,158730129,0.003703,25692,54978
64,1,ON,2,DDR4_2400_8x8,AMPMPrefetcher,128,0.059362,158219135,0.276415,1920947,5396256
512,16,OFF,1,DDR3_2133_8x8,TaggedPrefetcher,32,0.031648,158771518,0.003297,22876,30400
32,1,OFF,1,DDR4_2400_8x8,BOPPrefetcher,32,0.156411,158716602,0.329621,2291954,2291233
256,4,OFF,2,DDR4_2400_16x4,TaggedPrefetcher,32,0.032814,158820651,0.006357,44106,71964
64,2,OFF,16,DDR4_2400_8x8,None,32,0.149113,158766367,0.304831,2119972,2119252
32,16,OFF,8,DDR3_2133_8x8,TaggedPrefetcher,32,0.146807,158723131,0.312498,2171664,6388955
512,1,OFF,1,DDR3_1600_8x8,SignaturePathPrefetcher,32,0.037993,158742165,0.016039,111264,314252
32,2,ON,16,DDR4_2400_8x8,BOPPrefetcher,64,0.058254,158195897,0.310835,2158874,2226726
512,1,OFF,2,DDR3_2133_8x8,SignaturePathPrefetcher,64,0.050180,158765421,0.047174,327675,992541
256,4,OFF,8,DDR3_2133_8x8,AMPMPrefetcher,64,0.031831,158734861,0.002753,19116,32554
64,2,ON,1,DDR3_2133_8x8,AMPMPrefetcher,32,0.058800,158243026,0.320870,2228360,10617656
512,2,ON,1,DDR4_2400_4x16,SignaturePathPrefetcher,128,0.032725,158234589,0.001487,10318,14441
256,1,OFF,1,DDR3_2133_8x8,None,32,0.104193,158822084,0.189921,1320339,1319609
64,2,ON,8,DDR4_2400_8x8,SignaturePathPrefetcher,128,0.044713,158210889,0.132491,920228,3595477
512,2,OFF,16,DDR4_2400_8x8,AMPMPrefetcher,128,0.046194,158787087,0.029423,204334,415878
64,16,OFF,16,DDR4_2400_4x16,TaggedPrefetcher,64,0.151244,158741408,0.307767,2140941,6299300
512,16,OFF,16,DDR3_1600_8x8,AMPMPrefetcher,128,0.031855,158720703,0.001071,7432,8938
128,1,OFF,16,DDR3_2133_8x8,TaggedPrefetcher,32,0.104617,158770275,0.192923,1340424,3908680
32,16,ON,4,DDR4_2400_4x16,SignaturePathPrefetcher,32,0.044449,158209682,0.148759,1032907,3556962
128,16,ON,4,DDR4_2400_4x16,BOPPrefetcher,32,0.047625,158188791,0.188801,1311973,1311282
256,8,OFF,16,DDR4_2400_4x16,BOPPrefetcher,32,0.034897,158791550,0.007690,53357,52604
512,2,ON,16,DDR3_1600_8x8,SignaturePathPrefetcher,32,0.032701,158238398,0.003269,22697,43177
512,16,OFF,16,DDR4_2400_16x4,None,64,0.031601,158758975,0.002217,15388,14677
256,8,OFF,8,DDR4_2400_16x4,AMPMPrefetcher,128,0.031882,158752562,0.001750,12146,16199
32,8,OFF,4,DDR3_1600_8x8,TaggedPrefetcher,128,0.171407,158746101,0.308763,2146580,6202774
32,8,ON,1,DDR3_1600_8x8,BOPPrefetcher,32,0.057657,158167267,0.315021,2188984,2188340
64,4,OFF,16,DDR4_2400_8x8,None,32,0.152128,158734471,0.314257,2184449,2183722
64,1,ON,4,DDR4_2400_8x8,AMPMPrefetcher,64,0.056822,158226659,0.279287,1940285,9620607
32,16,ON,1,DDR3_2133_8x8,SignaturePathPrefetcher,64,0.044255,158169044,0.142224,987425,2729457
32,16,OFF,4,DDR4_2400_4x16,AMPMPrefetcher,128,0.173603,158750100,0.313152,2177731,6504287
64,1,ON,4,DDR4_2400_16x4,AMPMPrefetcher,64,0.057599,158198101,0.285043,1979648,9173916
256,2,OFF,2,DDR4_2400_16x4,None,128,0.045142,158781011,0.032577,226232,224167
64,16,ON,16,DDR4_2400_4x16,TaggedPrefetcher,32,0.059182,158167968,0.310138,2155450,6380747
128,2,ON,4,DDR4_2400_16x4,BOPPrefetcher,128,0.043479,158240941,0.130052,903394,930064
32,4,OFF,1,DDR4_2400_4x16,TaggedPrefetcher,128,0.174534,158784484,0.308831,2149279,6206778
64,8,ON,2,DDR3_2133_8x8,AMPMPrefetcher,64,0.060005,158180339,0.313882,2180805,9070162
256,1,ON,16,DDR3_2133_8x8,AMPMPrefetcher,128,0.036984,158218556,0.043827,304249,826554
256,2,ON,2,DDR4_2400_8x8,TaggedPrefetcher,128,0.033019,158193104,0.004029,27964,55589
64,4,ON,16,DDR4_2400_16x4,BOPPrefetcher,32,0.058117,158186946,0.314382,2183412,2182766
512,8,ON,1,DDR4_2400_16x4,SignaturePathPrefetcher,32,0.032421,158197128,0.002539,17639,31224
64,4,ON,4,DDR3_2133_8x8,BOPPrefetcher,128,0.057449,158214265,0.297023,2063975,2138670
128,8,ON,16,DDR4_2400_8x8,TaggedPrefetcher,32,0.042583,158239685,0.117973,819563,2343447
64,1,OFF,8,DDR4_2400_16x4,TaggedPrefetcher,64,0.135634,158741852,0.272233,1892508,5523543
256,4,ON,2,DDR3_2133_8x8,TaggedPrefetcher,32,0.032734,158236852,0.006368,44222,88763
128,16,ON,4,DDR4_2400_16x4,TaggedPrefetcher,64,0.049110,158202511,0.184211,1279654,3750523
256,2,ON,2,DDR3_2133_8x8,AMPMPrefetcher,32,0.035261,158253171,0.036677,254645,2417678
64,8,ON,16,DDR3_2133_8x8,TaggedPrefetcher,32,0.059194,158181157,0.310323,2155364,6380133
128,2,OFF,1,DDR3_2133_8x8,None,64,0.102286,158802834,0.187788,1304965,1304296
64,8,OFF,16,DDR3_1600_8x8,AMPMPrefetcher,64,0.154760,158791849,0.310249,2158186,6507082
64,16,ON,1,DDR3_1600_8x8,SignaturePathPrefetcher,64,0.044628,158159695,0.145914,1012697,2862537
64,16,OFF,8,DDR3_2133_8x8,AMPMPrefetcher,128,0.162844,158741376,0.310726,2162237,6292270
128,2,OFF,4,DDR4_2400_4x16,None,64,0.079782,158788903,0.117293,814670,813997
512,16,OFF,4,DDR4_2400_4x16,AMPMPrefetcher,128,0.031843,158717410,0.001127,7821,9381
256,2,OFF,16,DDR4_2400_16x4,SignaturePathPrefetcher,128,0.033026,158759918,0.004013,27849,38749
32,1,OFF,2,DDR3_2133_8x8,TaggedPrefetcher,128,0.169364,158729017,0.326475,2269691,6464339
256,8,ON,8,DDR3_2133_8x8,BOPPrefetcher,32,0.032979,158172855,0.009030,62664,61961
128,1,OFF,16,DDR4_2400_16x4,TaggedPrefetcher,64,0.101036,158747732,0.178873,1243123,3636100
256,8,ON,2,DDR4_2400_8x8,TaggedPrefetcher,32,0.032454,158265513,0.004199,29166,57024
256,2,ON,4,DDR3_1600_8x8,None,128,0.033067,158232246,0.006222,43173,42475
256,2,ON,4,DDR3_1600_8x8,BOPPrefetcher,128,0.037616,158249534,0.060140,417724,430587
256,16,OFF,2,DDR3_1600_8x8,AMPMPrefetcher,32,0.032409,158752163,0.003634,25198,54227
128,2,OFF,8,DDR4_2400_4x16,BOPPrefetcher,64,0.095940,158793570,0.160205,1112267,1139156
64,8,ON,16,DDR3_1600_8x8,AMPMPrefetcher,128,0.063260,158182202,0.311044,2160076,6855491
128,2,ON,8,DDR3_2133_8x8,None,32,0.041241,158176119,0.111555,774585,773914
256,16,ON,1,DDR4_2400_16x4,None,64,0.032540,158227760,0.004085,28346,27686
256,1,OFF,16,DDR3_2133_8x8,AMPMPrefetcher,64,0.087772,158723970,0.148487,1032148,3613196
64,2,OFF,16,DDR4_2400_8x8,AMPMPrefetcher,128,0.165379,158757582,0.293739,2044585,5474712
512,8,OFF,8,DDR3_1600_8x8,None,64,0.031623,158745148,0.002373,16462,15753
32,1,ON,8,DDR4_2400_4x16,TaggedPrefetcher,128,0.066655,158188432,0.342993,2382639,6855572
64,8,OFF,2,DDR4_2400_16x4,TaggedPrefetcher,128,0.171601,158786388,0.306839,2135337,6186853
64,2,OFF,16,DDR4_2400_16x4,SignaturePathPrefetcher,64,0.103574,158723631,0.211613,1470612,3762554
64,4,ON,2,DDR3_1600_8x8,SignaturePathPrefetcher,128,0.045730,158200125,0.151089,1048970,2754020
32,2,OFF,4,DDR4_2400_16x4,BOPPrefetcher,32,0.152373,158749367,0.315327,2193914,2193194
256,1,OFF,8,DDR4_2400_16x4,AMPMPrefetcher,32,0.066902,158764155,0.086307,598840,2003500
512,1,ON,1,DDR3_1600_8x8,None,128,0.034392,158245762,0.022689,157582,156771
64,16,OFF,1,DDR4_2400_8x8,SignaturePathPrefetcher,64,0.098461,158769781,0.179280,1245743,2996141
64,4,OFF,8,DDR4_2400_4x16,BOPPrefetcher,128,0.158567,158758698,0.296345,2062061,2140153
32,16,ON,8,DDR4_2400_16x4,SignaturePathPrefetcher,32,0.044806,158204029,0.153279,1063993,4658526
256,8,ON,8,DDR3_2133_8x8,AMPMPrefetcher,32,0.032612,158238893,0.003573,24789,54241
32,4,OFF,2,DDR3_2133_8x8,TaggedPrefetcher,128,0.165164,158778943,0.308681,2147516,6205175
128,1,OFF,16,DDR3_2133_8x8,SignaturePathPrefetcher,32,0.057700,158738681,0.068943,478513,1348272
512,2,ON,1,DDR3_2133_8x8,AMPMPrefetcher,128,0.032756,158237913,0.001326,9207,12504
32,2,OFF,8,DDR4_2400_8x8,TaggedPrefetcher,128,0.172922,158738830,0.310653,2160704,6232828
32,16,OFF,1,DDR3_1600_8x8,SignaturePathPrefetcher,128,0.117310,158718825,0.211392,1468165,3530718
256,16,ON,2,DDR4_2400_16x4,SignaturePathPrefetcher,64,0.032679,158221878,0.002417,16780,30573
128,4,ON,16,DDR3_2133_8x8,AMPMPrefetcher,128,0.047063,158231853,0.159691,1108832,1819755
256,4,ON,1,DDR3_1600_8x8,SignaturePathPrefetcher,128,0.032791,158214677,0.001825,12671,19065
512,8,OFF,4,DDR4_2400_16x4,SignaturePathPrefetcher,64,0.031803,158781404,0.001445,10036,16713
256,1,ON,8,DDR3_2133_8x8,SignaturePathPrefetcher,32,0.036871,158240804,0.052694,365877,1431751
256,16,OFF,16,DDR4_2400_8x8,AMPMPrefetcher,64,0.031658,158712388,0.002419,16787,29744
512,4,OFF,4,DDR3_2133_8x8,SignaturePathPrefetcher,64,0.031788,158782841,0.001533,10645,17562
32,16,OFF,8,DDR4_2400_16x4,AMPMPrefetcher,32,0.155688,158742258,0.317128,2204040,6707737
256,8,OFF,2,DDR3_1600_8x8,TaggedPrefetcher,128,0.031774,158741478,0.001487,10323,18806
64,4,ON,16,DDR4_2400_8x8,SignaturePathPrefetcher,32,0.045088,158151651,0.151924,1054982,4640136
128,4,ON,2,DDR3_2133_8x8,None,32,0.047202,158212896,0.185160,1286120,1285427
512,8,OFF,1,DDR3_2133_8x8,AMPMPrefetcher,64,0.031738,158764297,0.001450,10070,16408
512,16,ON,8,DDR3_2133_8x8,TaggedPrefetcher,128,0.032838,158253926,0.000820,5688,10773
512,2,OFF,8,DDR4_2400_8x8,TaggedPrefetcher,64,0.032105,158770731,0.002280,15829,31179
64,1,OFF,2,DDR4_2400_4x16,AMPMPrefetcher,64,0.149526,158767156,0.285357,1983898,6119632
64,4,OFF,2,DDR3_2133_8x8,TaggedPrefetcher,64,0.147239,158757617,0.307919,2141538,6299889
512,1,ON,2,DDR3_2133_8x8,SignaturePathPrefetcher,128,0.032871,158228037,0.003210,22282,30333
128,16,OFF,16,DDR3_1600_8x8,TaggedPrefetcher,128,0.115898,158782945,0.176835,1230336,3389834
256,16,ON,4,DDR3_1600_8x8,SignaturePathPrefetcher,64,0.032732,158202421,0.002402,16681,30296
256,4,ON,8,DDR4_2400_8x8,TaggedPrefetcher,64,0.033021,158201534,0.004869,33803,65842
64,1,OFF,4,DDR4_2400_4x16,BOPPrefetcher,64,0.138793,158765060,0.276147,1919854,1963666
32,8,OFF,4,DDR4_2400_4x16,BOPPrefetcher,64,0.151639,158737062,0.309599,2152966,2215195
512,8,OFF,1,DDR3_1600_8x8,SignaturePathPrefetcher,32,0.031831,158794484,0.002469,17131,29427
32,4,ON,4,DDR4_2400_8x8,TaggedPrefetcher,32,0.059000,158195835,0.311072,2160828,6388888
128,8,ON,2,DDR4_2400_16x4,TaggedPrefetcher,128,0.051586,158229344,0.195919,1360702,3866301
32,16,ON,4,DDR4_2400_8x8,AMPMPrefetcher,64,0.060173,158172627,0.320017,2223585,10594995
128,16,OFF,4,DDR4_2400_4x16,TaggedPrefetcher,64,0.105513,158787612,0.180096,1252808,3493833
64,1,OFF,2,DDR3_1600_8x8,BOPPrefetcher,32,0.152154,158716988,0.313745,2180556,2179846
128,2,OFF,2,DDR3_1600_8x8,BOPPrefetcher,64,0.084322,158778083,0.133821,928724,953986
256,16,OFF,8,DDR3_2133_8x8,None,128,0.031809,158755909,0.002521,17509,15375
128,16,ON,8,DDR4_2400_8x8,TaggedPrefetcher,128,0.050508,158241119,0.184841,1283284,3675788
512,2,OFF,4,DDR3_2133_8x8,TaggedPrefetcher,128,0.069200,158770365,0.086555,601386,1734794
512,16,ON,16,DDR3_1600_8x8,SignaturePathPrefetcher,128,0.032841,158248561,0.000893,6198,9383
128,2,OFF,8,DDR3_2133_8x8,TaggedPrefetcher,32,0.060225,158771731,0.074058,513771,1422066
512,4,OFF,16,DDR3_1600_8x8,None,128,0.031817,158749361,0.001549,10748,9132
512,1,OFF,16,DDR4_2400_8x8,None,64,0.041051,158737359,0.025515,176980,176262
64,4,ON,8,DDR4_2400_4x16,None,128,0.058225,158207728,0.307856,2137536,2136930
128,8,OFF,1,DDR4_2400_4x16,None,64,0.104153,158796668,0.180206,1252289,1251597
128,16,ON,4,DDR4_2400_4x16,TaggedPrefetcher,128,0.038505,158252337,0.062064,431069,1040822
512,2,OFF,8,DDR4_2400_8x8,BOPPrefetcher,64,0.031984,158807946,0.002952,20501,23578
512,8,OFF,8,DDR4_2400_16x4,BOPPrefetcher,64,0.031703,158779829,0.002503,17385,16794
32,2,ON,8,DDR3_1600_8x8,TaggedPrefetcher,128,0.062524,158233749,0.310363,2156843,6225945
128,16,OFF,1,DDR3_2133_8x8,BOPPrefetcher,128,0.059102,158784271,0.060191,418037,424192
128,8,ON,8,DDR3_2133_8x8,TaggedPrefetcher,64,0.042963,158204633,0.116193,806809,2277006
64,16,OFF,4,DDR3_1600_8x8,TaggedPrefetcher,128,0.172477,158787244,0.306665,2135159,6186863
32,8,OFF,2,DDR3_2133_8x8,AMPMPrefetcher,128,0.164280,158770512,0.313629,2180840,6502921
256,4,OFF,4,DDR3_2133_8x8,None,128,0.033911,158741401,0.006544,45413,43336
128,4,ON,16,DDR4_2400_4x16,TaggedPrefetcher,32,0.045765,158171105,0.155207,1078004,3139792
64,8,ON,16,DDR4_2400_8x8,BOPPrefetcher,64,0.058102,158236245,0.307421,2134370,2181822
256,16,ON,1,DDR4_2400_8x8,TaggedPrefetcher,128,0.032737,158245713,0.001333,9259,18530
512,1,OFF,8,DDR3_1600_8x8,SignaturePathPrefetcher,64,0.032676,158725436,0.004837,33573,50948
64,2,OFF,16,DDR4_2400_8x8,BOPPrefetcher,32,0.149113,158766367,0.304831,2119972,2119252
512,8,ON,1,DDR3_1600_8x8,None,64,0.032561,158264778,0.002322,16120,15432
512,16,ON,4,DDR3_2133_8x8,AMPMPrefetcher,64,0.032758,158194907,0.001361,9446,15561
64,4,ON,8,DDR4_2400_16x4,TaggedPrefetcher,64,0.060262,158176583,0.308064,2140478,6297688
512,2,OFF,16,DDR4_2400_8x8,SignaturePathPrefetcher,32,0.031976,158837671,0.003077,21341,38395
256,16,OFF,8,DDR4_2400_4x16,BOPPrefetcher,64,0.032315,158740221,0.004153,28820,28178
512,1,ON,4,DDR3_1600_8x8,SignaturePathPrefetcher,32,0.033484,158196265,0.015201,105445,349956
32,1,ON,8,DDR4_2400_8x8,BOPPrefetcher,64,0.061751,158168063,0.336593,2337373,2435502
64,8,OFF,2,DDR4_2400_4x16,SignaturePathPrefetcher,32,0.106198,158753377,0.218127,1515382,3770825
128,2,ON,4,DDR3_1600_8x8,TaggedPrefetcher,128,0.045392,158239383,0.132033,916888,2614015
128,8,ON,1,DDR4_2400_16x4,TaggedPrefetcher,64,0.042092,158205944,0.111750,776398,2161304
64,8,OFF,2,DDR4_2400_4x16,None,64,0.152062,158801439,0.309580,2153248,2152569
256,16,OFF,4,DDR3_1600_8x8,TaggedPrefetcher,64,0.031589,158731148,0.002300,15962,31268
64,4,OFF,2,DDR4_2400_4x16,AMPMPrefetcher,32,0.156389,158751855,0.309851,2154555,6630112
32,2,OFF,2,DDR4_2400_4x16,BOPPrefetcher,64,0.151937,158726726,0.310587,2158681,2222237
128,8,ON,2,DDR3_2133_8x8,None,64,0.042016,158243087,0.116799,811325,810699
32,1,ON,2,DDR3_1600_8x8,AMPMPrefetcher,32,0.061854,158162556,0.349418,2425285,11222820
512,2,ON,1,DDR4_2400_16x4,BOPPrefetcher,64,0.032603,158286437,0.003256,22612,26777
256,1,ON,8,DDR3_1600_8x8,TaggedPrefetcher,32,0.037940,158262154,0.065334,453683,1317821
64,1,ON,1,DDR3_2133_8x8,None,64,0.054704,158228329,0.264553,1837344,1836758
64,2,ON,16,DDR4_2400_8x8,AMPMPrefetcher,128,0.061257,158225190,0.292005,2028212,6507661
32,8,ON,2,DDR4_2400_8x8,None,32,0.057801,158196175,0.315018,2188096,2187461
256,8,OFF,1,DDR3_1600_8x8,None,64,0.032329,158773704,0.004093,28407,27714
256,16,OFF,8,DDR3_1600_8x8,SignaturePathPrefetcher,64,0.031674,158731546,0.002432,16888,30273
512,1,OFF,1,DDR3_2133_8x8,TaggedPrefetcher,32,0.032977,158782530,0.006304,43725,82300
512,2,ON,8,DDR3_2133_8x8,AMPMPrefetcher,32,0.032699,158270244,0.003664,25420,65344
256,2,OFF,8,DDR3_2133_8x8,None,64,0.047933,158783447,0.043173,299737,299050
256,4,OFF,2,DDR4_2400_16x4,None,32,0.034357,158789715,0.008524,59128,58379
256,4,OFF,1,DDR3_1600_8x8,None,32,0.035659,158803240,0.009096,63125,62380
128,8,OFF,4,DDR3_1600_8x8,None,64,0.077186,158784906,0.114270,793391,792708
128,1,OFF,8,DDR3_2133_8x8,TaggedPrefetcher,64,0.113500,158766777,0.216409,1504866,4406843
256,4,OFF,1,DDR3_1600_8x8,AMPMPrefetcher,64,0.033135,158731534,0.005055,35084,88092
512,16,OFF,16,DDR4_2400_8x8,BOPPrefetcher,32,0.032516,158767299,0.004133,28665,27903
128,2,ON,16,DDR4_2400_4x16,AMPMPrefetcher,32,0.045935,158249927,0.161589,1122407,6251998
128,4,OFF,8,DDR4_2400_8x8,AMPMPrefetcher,64,0.097066,158761723,0.165175,1148389,3648738
64,1,OFF,8,DDR4_2400_16x4,None,32,0.134838,158749367,0.266418,1851937,1851218
256,8,OFF,4,DDR3_1600_8x8,AMPMPrefetcher,128,0.031730,158744970,0.001735,12046,16081
128,16,ON,8,DDR4_2400_4x16,None,128,0.047227,158229458,0.174745,1213543,1212925
128,2,OFF,1,DDR3_1600_8x8,BOPPrefetcher,32,0.097637,158775105,0.165645,1150907,1150170
512,8,OFF,8,DDR3_1600_8x8,SignaturePathPrefetcher,32,0.031831,158794484,0.002469,17131,29427
512,16,OFF,1,DDR4_2400_4x16,AMPMPrefetcher,64,0.031704,158736671,0.001385,9612,15824
64,1,ON,2,DDR4_2400_16x4,TaggedPrefetcher,64,0.055012,158211151,0.251208,1745939,5116282
512,8,ON,16,DDR4_2400_4x16,None,128,0.032881,158227726,0.001313,9114,8441
32,4,ON,2,DDR3_1600_8x8,None,128,0.057851,158205694,0.308398,2141181,2140353
256,2,OFF,4,DDR4_2400_16x4,TaggedPrefetcher,128,0.047485,158789362,0.031796,220785,617754
256,4,ON,2,DDR4_2400_16x4,TaggedPrefetcher,128,0.033090,158201837,0.004888,33933,70844
256,4,OFF,4,DDR4_2400_16x4,AMPMPrefetcher,64,0.033253,158743092,0.005520,38342,98086
128,16,ON,2,DDR4_2400_4x16,None,64,0.048522,158248649,0.194619,1351914,1351290
512,4,OFF,4,DDR4_2400_8x8,AMPMPrefetcher,32,0.031813,158746257,0.002342,16248,32527
256,2,ON,1,DDR3_1600_8x8,TaggedPrefetcher,128,0.032939,158205699,0.003902,27077,54410
512,4,ON,1,DDR4_2400_4x16,TaggedPrefetcher,128,0.032751,158234007,0.000952,6611,11896
256,16,ON,1,DDR4_2400_4x16,BOPPrefetcher,32,0.032317,158190270,0.007452,51713,50995
512,1,ON,1,DDR4_2400_16x4,None,32,0.032359,158167158,0.007594,52698,51949
256,4,OFF,4,DDR3_2133_8x8,BOPPrefetcher,128,0.032824,158754439,0.004205,29182,27207
32,2,OFF,2,DDR3_2133_8x8,TaggedPrefetcher,64,0.147653,158765874,0.310096,2157932,6334027
512,8,ON,1,DDR3_2133_8x8,SignaturePathPrefetcher,64,0.032577,158222073,0.001449,10067,16889
256,8,OFF,2,DDR3_2133_8x8,AMPMPrefetcher,32,0.032264,158752056,0.003604,24992,53909
512,4,ON,8,DDR4_2400_16x4,None,64,0.032807,158272474,0.002483,17233,16548
64,8,OFF,2,DDR4_2400_4x16,None,32,0.154147,158744829,0.314190,2184081,2183351
512,1,OFF,4,DDR4_2400_8x8,SignaturePathPrefetcher,128,0.032995,158773582,0.003726,25863,33708
32,1,OFF,4,DDR4_2400_8x8,None,64,0.152312,158767778,0.325118,2260225,2259565
32,2,ON,2,DDR4_2400_4x16,SignaturePathPrefetcher,64,0.043877,158170829,0.138700,962796,3452803
32,16,OFF,8,DDR4_2400_8x8,SignaturePathPrefetcher,128,0.126100,158800005,0.234804,1632549,4254659
32,2,ON,8,DDR4_2400_16x4,SignaturePathPrefetcher,64,0.045454,158199575,0.151471,1051723,3898249
128,8,ON,2,DDR3_1600_8x8,TaggedPrefetcher,64,0.049859,158181326,0.193640,1344378,3942371
128,2,OFF,2,DDR4_2400_4x16,None,64,0.079782,158788903,0.117293,814670,813997
512,16,OFF,16,DDR4_2400_16x4,AMPMPrefetcher,64,0.031767,158761423,0.001369,9503,15620
64,4,OFF,1,DDR4_2400_4x16,TaggedPrefetcher,32,0.152445,158714299,0.312002,2168544,6383527
64,8,ON,8,DDR3_1600_8x8,SignaturePathPrefetcher,32,0.045015,158223630,0.153932,1068734,4292055
64,8,OFF,16,DDR3_2133_8x8,SignaturePathPrefetcher,64,0.103531,158748141,0.207193,1440549,3845054
512,1,OFF,8,DDR4_2400_4x16,None,128,0.049508,158740813,0.042501,295198,293333
256,8,ON,1,DDR3_2133_8x8,TaggedPrefetcher,128,0.032733,158231710,0.001369,9497,18825
128,8,ON,2,DDR3_1600_8x8,None,64,0.042117,158239272,0.117603,816468,815838
64,16,OFF,16,DDR4_2400_4x16,TaggedPrefetcher,128,0.173295,158755862,0.306646,2135242,6187163
128,1,ON,1,DDR4_2400_8x8,AMPMPrefetcher,32,0.045741,158222157,0.159407,1107242,5450288
512,4,OFF,1,DDR3_1600_8x8,None,64,0.031726,158805164,0.002514,17452,16739
64,16,ON,1,DDR3_2133_8x8,AMPMPrefetcher,128,0.062898,158237606,0.310506,2158729,6928597
512,4,ON,4,DDR4_2400_16x4,SignaturePathPrefetcher,32,0.032542,158168334,0.002501,17364,31672
128,2,ON,8,DDR3_2133_8x8,AMPMPrefetcher,64,0.042194,158215882,0.108180,751229,3387040
128,8,ON,1,DDR4_2400_8x8,AMPMPrefetcher,128,0.049859,158200156,0.190126,1320958,2481832
256,4,ON,8,DDR4_2400_16x4,AMPMPrefetcher,64,0.032823,158202682,0.002440,16948,29699
512,1,ON,4,DDR4_2400_8x8,SignaturePathPrefetcher,32,0.032694,158208603,0.005812,40323,78859
128,16,OFF,2,DDR3_2133_8x8,AMPMPrefetcher,64,0.094620,158760644,0.164336,1141988,1420894
512,8,OFF,16,DDR4_2400_8x8,BOPPrefetcher,32,0.032458,158791109,0.003958,27452,26688
64,2,ON,4,DDR3_1600_8x8,TaggedPrefetcher,64,0.060187,158209083,0.308445,2143084,6302631
32,1,ON,2,DDR3_1600_8x8,BOPPrefetcher,128,0.061225,158265954,0.326187,2266105,2357144
64,4,ON,1,DDR4_2400_8x8,TaggedPrefetcher,128,0.062156,158160371,0.307229,2133251,6184456
128,16,ON,4,DDR3_2133_8x8,SignaturePathPrefetcher,128,0.040543,158232652,0.082763,574594,2285204
512,8,OFF,8,DDR4_2400_8x8,BOPPrefetcher,128,0.031794,158748164,0.001368,9490,8658
