l1d_size,l1d_assoc,l2cache,l2assoc,mem_type,l1d_hwp_type,cacheline_size,sim_seconds,sim_insts,dcache_overall_miss_rate,dcache_overall_misses,dcache_replacements
256,16,OFF,8,DDR4_2400_4x16,SignaturePathPrefetcher,64,0.031671,158756762,0.002411,16739,29832
256,4,OFF,16,DDR4_2400_8x8,BOPPrefetcher,64,0.032491,158758002,0.004554,31610,31365
128,1,ON,4,DDR3_2133_8x8,AMPMPrefetcher,32,0.049896,158241131,0.207281,1439728,7427201
64,4,OFF,8,DDR3_2133_8x8,AMPMPrefetcher,32,0.149761,158786383,0.309372,2151386,6295010
128,8,ON,2,DDR3_1600_8x8,BOPPrefetcher,64,0.041705,158270519,0.112776,782767,798734
64,2,ON,1,DDR4_2400_4x16,TaggedPrefetcher,64,0.060222,158209315,0.308928,2146468,6308512
128,2,OFF,8,DDR4_2400_8x8,None,32,0.107469,158787761,0.193477,1344816,1344087
32,1,OFF,4,DDR4_2400_8x8,TaggedPrefetcher,32,0.156862,158701016,0.327456,2277428,6662049
32,8,ON,2,DDR4_2400_4x16,AMPMPrefetcher,32,0.059147,158209583,0.325206,2258444,10847701
64,1,OFF,2,DDR4_2400_16x4,None,64,0.141152,158747219,0.288691,2007845,2007190
256,1,OFF,16,DDR3_2133_8x8,None,64,0.087547,158768277,0.149888,1041246,1040547
32,1,OFF,8,DDR3_2133_8x8,AMPMPrefetcher,64,0.156155,158719866,0.336326,2338042,6821121
128,1,ON,8,DDR3_1600_8x8,BOPPrefetcher,64,0.044647,158228843,0.145003,1006438,1033178
512,1,ON,16,DDR4_2400_4x16,BOPPrefetcher,128,0.040591,158252365,0.093945,652424,672030
32,4,OFF,16,DDR4_2400_8x8,SignaturePathPrefetcher,32,0.118725,158816240,0.273638,1901588,4710046
64,1,ON,1,DDR4_2400_16x4,TaggedPrefetcher,32,0.055140,158150763,0.264010,1832280,5401979
512,16,OFF,1,DDR3_1600_8x8,SignaturePathPrefetcher,32,0.031813,158803623,0.002417,16775,28925
32,2,OFF,2,DDR4_2400_16x4,TaggedPrefetcher,64,0.151064,158741744,0.310389,2159403,6336159
64,2,ON,1,DDR4_2400_4x16,None,32,0.055341,158186841,0.287664,1998510,1997847
64,2,ON,2,DDR4_2400_4x16,TaggedPrefetcher,128,0.062287,158189413,0.307964,2138785,6192396
128,1,OFF,8,DDR4_2400_8x8,TaggedPrefetcher,32,0.109231,158830858,0.202774,1408841,4115488
64,2,OFF,2,DDR4_2400_16x4,TaggedPrefetcher,64,0.150990,158763630,0.308786,2147831,6311807
512,4,ON,16,DDR4_2400_8x8,TaggedPrefetcher,32,0.032702,158263773,0.002812,19529,34957
32,1,ON,8,DDR4_2400_16x4,None,64,0.060516,158223894,0.328333,2280955,2280383
128,16,ON,8,DDR4_2400_16x4,SignaturePathPrefetcher,32,0.040258,158216901,0.095433,662828,2294215
32,4,OFF,2,DDR4_2400_8x8,AMPMPrefetcher,64,0.152557,158744954,0.315393,2191887,6557000
64,8,ON,8,DDR3_1600_8x8,SignaturePathPrefetcher,128,0.046610,158237375,0.150967,1048291,3974210
32,8,ON,8,DDR4_2400_4x16,TaggedPrefetcher,128,0.062351,158241382,0.308553,2144528,6201115
128,2,ON,1,DDR4_2400_8x8,None,128,0.046917,158231284,0.177887,1235626,1234341
64,8,ON,1,DDR4_2400_8x8,SignaturePathPrefetcher,32,0.043970,158193384,0.142685,990514,3501645
512,2,ON,8,DDR4_2400_8x8,SignaturePathPrefetcher,128,0.032857,158188348,0.001354,9393,13815
64,1,OFF,4,DDR3_2133_8x8,SignaturePathPrefetcher,64,0.101094,158759527,0.220170,1529415,3889518
256,4,OFF,4,DDR4_2400_16x4,BOPPrefetcher,128,0.052858,158788292,0.049807,345833,356797
512,16,OFF,2,DDR4_2400_4x16,None,64,0.031552,158768411,0.002161,14995,14283
64,2,ON,2,DDR3_1600_8x8,TaggedPrefetcher,32,0.059041,158152410,0.311102,2161226,6389702
128,8,OFF,8,DDR4_2400_4x16,AMPMPrefetcher,64,0.081329,158739438,0.116728,811110,1549061
64,16,ON,16,DDR4_2400_8x8,SignaturePathPrefetcher,128,0.045308,158210619,0.135477,940206,3226674
32,8,ON,1,DDR4_2400_16x4,SignaturePathPrefetcher,64,0.045631,158172671,0.151850,1054600,4199893
256,2,OFF,4,DDR4_2400_4x16,None,32,0.069786,158814914,0.094251,654489,653738
64,4,OFF,1,DDR3_1600_8x8,SignaturePathPrefetcher,32,0.114111,158764783,0.250528,1740685,4412305
512,2,OFF,8,DDR4_2400_4x16,BOPPrefetcher,32,0.034014,158777143,0.007073,49038,48271
128,1,OFF,8,DDR3_2133_8x8,BOPPrefetcher,64,0.108418,158777282,0.206957,1437930,1470639
256,1,ON,16,DDR4_2400_8x8,None,128,0.034770,158228133,0.025240,175231,174601
256,8,OFF,1,DDR3_2133_8x8,TaggedPrefetcher,64,0.031664,158745254,0.002256,15664,31253
256,1,OFF,8,DDR4_2400_4x16,None,128,0.078349,158769716,0.109238,759076,757198
512,4,ON,16,DDR4_2400_8x8,None,64,0.032498,158304754,0.002475,17198,16512
256,8,ON,2,DDR3_2133_8x8,BOPPrefetcher,64,0.032635,158444150,0.003777,26228,29002
32,16,OFF,1,DDR4_2400_16x4,TaggedPrefetcher,32,0.150278,158750990,0.312424,2172147,6389727
32,16,ON,4,DDR4_2400_16x4,None,128,0.058130,158242444,0.307941,2140196,2139414
64,8,OFF,1,DDR3_1600_8x8,None,32,0.152413,158750236,0.314078,2184971,2184244
256,8,ON,16,DDR4_2400_8x8,None,64,0.032867,158271824,0.004114,28568,27909
128,16,OFF,8,DDR3_2133_8x8,BOPPrefetcher,128,0.059102,158784271,0.060191,418037,424192
512,1,ON,16,DDR4_2400_16x4,None,128,0.036026,158235257,0.040274,279545,278871
128,16,ON,4,DDR3_1600_8x8,None,128,0.038350,158214735,0.069376,481534,480834
64,1,OFF,1,DDR4_2400_4x16,SignaturePathPrefetcher,64,0.100878,158742999,0.190490,1323424,3418916
32,2,ON,16,DDR3_2133_8x8,AMPMPrefetcher,128,0.063719,158216760,0.315354,2191397,7920589
64,8,ON,1,DDR3_2133_8x8,None,32,0.057569,158220601,0.314212,2183333,2182672
32,2,ON,1,DDR4_2400_8x8,BOPPrefetcher,64,0.058131,158230119,0.310241,2154440,2221701
64,4,OFF,8,DDR4_2400_8x8,TaggedPrefetcher,64,0.149912,158764913,0.307730,2142037,6300595
128,16,ON,1,DDR4_2400_4x16,SignaturePathPrefetcher,64,0.039859,158217768,0.087054,604465,2061164
256,1,OFF,8,DDR4_2400_8x8,BOPPrefetcher,32,0.096367,158771645,0.161872,1125522,1124775
256,4,OFF,16,DDR4_2400_16x4,AMPMPrefetcher,32,0.032970,158747454,0.004808,33356,75501
32,2,ON,4,DDR4_2400_16x4,SignaturePathPrefetcher,128,0.045430,158210150,0.135004,937130,3117957
256,4,ON,1,DDR3_2133_8x8,AMPMPrefetcher,32,0.032495,158241644,0.005829,40453,109952
128,16,OFF,1,DDR4_2400_8x8,None,128,0.105900,158785745,0.175580,1220861,1218691
32,4,OFF,8,DDR4_2400_8x8,SignaturePathPrefetcher,64,0.104923,158713971,0.225791,1567858,3932093
32,1,OFF,2,DDR4_2400_16x4,BOPPrefetcher,32,0.155818,158744810,0.327988,2281062,2280339
64,8,OFF,4,DDR3_2133_8x8,TaggedPrefetcher,64,0.145169,158760098,0.307931,2140893,6298712
32,16,ON,8,DDR4_2400_16x4,None,128,0.058188,158246867,0.307995,2139890,2139277
512,1,ON,8,DDR4_2400_4x16,TaggedPrefetcher,128,0.034816,158203821,0.021488,149143,424840
128,16,OFF,16,DDR4_2400_16x4,None,128,0.107708,158815463,0.179114,1244739,1242560
512,4,ON,1,DDR3_1600_8x8,AMPMPrefetcher,64,0.032405,158232000,0.001546,10731,17737
512,8,ON,1,DDR3_2133_8x8,BOPPrefetcher,64,0.032519,158433884,0.002251,15627,16841
128,4,ON,2,DDR4_2400_16x4,SignaturePathPrefetcher,64,0.039040,158185190,0.076850,533429,1763333
256,16,OFF,4,DDR3_1600_8x8,AMPMPrefetcher,32,0.032409,158752163,0.003634,25198,54227
128,4,OFF,8,DDR4_2400_4x16,SignaturePathPrefetcher,128,0.075561,158762438,0.104673,727475,2078968
512,4,OFF,2,DDR3_1600_8x8,BOPPrefetcher,32,0.032748,158788880,0.004485,31111,30341
128,8,OFF,1,DDR4_2400_16x4,AMPMPrefetcher,128,0.117533,158760844,0.191365,1330723,1835383
32,1,OFF,16,DDR3_2133_8x8,BOPPrefetcher,128,0.155949,158720089,0.319989,2224863,2296065
